date,n1,n2,n3,n4,n5,n6
2021-08-01,5,7,17,26,28,38
2021-08-03,3,34,36,40,53,54
2021-08-06,16,24,39,42,43,53
2021-08-08,5,13,39,45,47,55
2021-08-10,11,25,27,34,45,49
2021-08-13,4,33,48,49,51,54
2021-08-15,1,3,6,7,47,56
2021-08-17,4,9,12,22,32,35
2021-08-20,6,8,10,29,35,46
2021-08-22,8,15,17,28,42,52
2021-08-24,22,31,39,51,55,58
2021-08-27,19,47,48,49,53,56
2021-08-29,9,18,32,36,41,48
2021-08-31,3,7,29,34,43,47
2021-09-03,22,23,44,55,57,58
2021-09-05,15,23,34,35,47,58
2021-09-07,18,37,43,45,54,56
2021-09-10,5,23,34,35,42,46
2021-09-12,2,15,28,31,43,50
2021-09-14,1,13,25,44,51,54
2021-09-17,8,9,32,34,43,51
2021-09-19,5,10,21,27,32,34
2021-09-21,23,24,35,48,49,57
2021-09-24,4,6,12,14,44,55
2021-09-26,3,16,19,23,36,55
2021-09-28,1,4,21,33,34,58
2021-10-01,18,19,22,23,47,49
2021-10-03,5,6,8,13,17,31
2021-10-05,2,3,41,42,45,48
2021-10-08,1,15,20,22,32,49
2021-10-10,3,19,40,54,56,57
2021-10-12,3,16,19,30,32,45
2021-10-15,2,3,35,37,42,44
2021-10-17,2,4,13,18,37,48
2021-10-19,16,22,28,32,35,50
2021-10-22,5,14,37,48,51,54
2021-10-24,7,25,29,35,52,56
2021-10-26,3,12,21,26,28,50
2021-10-29,6,8,15,28,31,43
2021-10-31,2,16,46,50,51,54
2021-11-02,2,6,14,18,27,28
2021-11-05,2,12,13,19,22,43
2021-11-07,16,17,25,37,44,49
2021-11-09,5,17,18,40,50,58
2021-11-12,5,15,23,31,49,53
2021-11-14,1,12,21,35,48,55
2021-11-16,4,5,14,19,22,25
2021-11-19,6,21,25,28,42,55
2021-11-21,1,21,26,36,41,43
2021-11-23,10,19,30,35,46,58
2021-11-26,10,12,17,20,29,46
2021-11-28,5,11,16,34,39,48
2021-11-30,13,21,24,45,51,58
2021-12-03,5,20,32,35,41,53
2021-12-05,4,8,15,46,52,55
2021-12-07,5,8,18,36,45,54
2021-12-10,2,33,41,44,56,57
2021-12-12,8,9,11,36,44,57
2021-12-14,9,12,15,45,49,56
2021-12-17,10,19,24,44,52,57
2021-12-19,3,8,28,41,48,58
2021-12-21,2,14,16,18,26,58
2021-12-24,2,14,16,27,34,45
2021-12-26,18,21,22,43,51,57
2021-12-28,19,21,22,24,36,39
2021-12-31,6,8,14,26,47,48
