date,n1,n2,n3,n4,n5,n6
2023-04-02,3,21,26,42,52,57
2023-04-04,24,34,35,39,43,52
2023-04-11,20,32,41,47,55,57
2023-04-14,3,34,42,46,52,54
2023-04-16,17,20,21,46,54,56
2023-04-18,4,8,13,34,48,53
2023-04-21,21,23,25,39,42,44
2023-04-23,3,9,25,36,57,58
2023-04-25,10,31,32,43,45,53
2023-04-28,5,10,12,22,34,40
2023-04-30,10,12,15,31,41,55
2023-05-02,7,16,19,30,40,50
2023-05-05,4,14,22,29,38,55
2023-05-07,11,17,26,33,38,44
2023-05-09,1,5,16,28,39,40
2023-05-12,4,12,37,39,44,56
2023-05-14,6,12,18,23,44,57
2023-05-16,23,28,38,41,45,58
2023-05-19,2,3,28,43,46,50
2023-05-21,6,11,15,46,50,54
2023-05-23,4,5,15,23,26,36
2023-05-26,8,10,11,28,35,36
2023-05-28,10,14,18,27,28,47
2023-05-30,19,31,46,47,49,54
2023-06-02,13,36,38,39,45,48
2023-06-04,4,10,31,52,54,56
2023-06-06,8,9,14,30,39,54
2023-06-09,7,26,30,34,46,47
2023-06-11,5,19,41,44,46,55
2023-06-13,14,18,27,37,42,56
2023-06-16,10,19,27,36,38,50
2023-06-18,7,9,12,15,18,51
2023-06-20,9,11,26,27,33,43
2023-06-23,2,27,31,47,49,55
2023-06-25,6,21,29,32,40,54
2023-06-27,19,24,28,35,37,38
2023-06-30,17,27,37,43,47,58
2023-07-02,2,12,39,41,56,57
2023-07-04,8,18,23,28,37,51
2023-07-07,2,3,6,22,46,56
2023-07-09,10,14,16,49,50,53
2023-07-11,3,14,33,34,37,49
2023-07-14,2,15,22,37,48,51
2023-07-16,1,28,29,32,41,56
2023-07-18,2,12,16,30,44,47
2023-07-21,15,31,33,36,49,57
2023-07-23,3,5,22,23,47,58
2023-07-25,9,12,20,23,43,45
2023-07-28,1,23,37,43,50,54
2023-07-30,10,16,29,48,49,52
2023-08-01,7,15,31,41,47,52
2023-08-04,6,11,17,32,37,56
2023-08-06,16,19,20,41,42,46
2023-08-08,5,18,22,26,30,55
2023-08-11,4,19,40,46,50,57
2023-08-13,7,15,24,25,31,37
2023-08-15,13,22,26,30,31,41
2023-08-18,3,22,23,25,36,38
2023-08-20,2,10,15,19,20,57
2023-08-22,10,11,15,38,52,55
2023-08-25,5,6,13,15,30,52
2023-08-27,6,13,45,50,56,57
2023-08-29,3,10,18,24,37,45
2023-09-01,2,4,30,44,51,55
2023-09-03,8,9,18,37,51,56
2023-09-05,1,8,22,24,26,57
2023-09-08,3,14,35,40,52,54
2023-09-10,2,12,15,28,35,58
2023-09-12,8,9,30,46,47,53
2023-09-15,25,28,29,37,41,54
2023-09-17,1,16,21,27,31,56
2023-09-19,7,9,10,13,19,21
2023-09-22,10,12,19,31,36,58
2023-09-24,20,27,28,30,38,42
2023-09-26,14,22,23,25,40,56
2023-09-29,4,10,16,21,22,42
2023-10-01,8,25,30,34,43,55
2023-10-03,11,19,32,34,35,45
2023-10-06,6,19,29,30,43,48
2023-10-08,10,13,16,19,33,47
2023-10-10,16,24,27,28,47,57
2023-10-13,2,20,23,34,51,55
2023-10-15,6,35,40,42,53,56
2023-10-17,5,12,14,44,48,51
2023-10-20,25,29,37,48,50,54
2023-10-22,11,13,28,33,37,44
2023-10-24,6,7,12,25,30,31
2023-10-27,2,11,16,22,33,45
2023-10-29,2,6,24,34,51,53
2023-10-31,8,21,37,39,47,51
2023-11-03,10,31,32,37,47,58
2023-11-05,9,11,17,38,45,48
2023-11-07,8,24,26,33,46,57
2023-11-10,4,8,40,44,45,55
2023-11-12,17,18,20,33,42,56
2023-11-14,27,39,44,55,56,57
2023-11-17,2,10,20,28,45,58
2023-11-19,1,23,26,43,44,55
2023-11-21,7,19,20,27,33,35
2023-11-24,4,14,20,22,55,58
2023-11-26,1,9,14,39,40,55
2023-11-28,5,24,28,42,45,53
2023-12-01,3,9,21,26,34,44
2023-12-03,3,11,16,36,44,49
2023-12-05,4,12,21,23,32,35
2023-12-08,15,20,28,34,38,43
2023-12-10,15,19,37,39,48,57
2023-12-12,1,3,11,14,36,44
2023-12-15,8,11,18,52,54,58
2023-12-17,7,9,29,37,38,52
2023-12-19,27,30,32,33,43,57
2023-12-22,16,21,43,44,46,50
2023-12-24,5,6,13,16,17,25
2023-12-26,6,9,16,42,47,49
2023-12-29,5,19,25,35,42,58
2023-12-31,1,24,30,31,32,44
