date,n1,n2,n3,n4,n5,n6
2024-04-02,6,8,19,25,45,49
2024-04-04,9,14,16,18,28,29
2024-04-07,8,29,30,31,33,48
2024-04-09,4,16,27,29,33,47
2024-04-11,15,16,17,19,41,46
2024-04-14,1,3,10,16,21,26
2024-04-16,14,17,18,19,22,29
2024-04-18,6,15,23,29,32,33
2024-04-21,8,30,32,37,48,49
2024-04-23,2,14,16,24,42,44
2024-04-25,11,21,29,36,38,47
2024-04-28,9,17,31,37,44,47
2024-04-30,3,17,19,23,42,43
2024-05-02,1,13,17,21,44,48
2024-05-05,15,34,40,41,42,47
2024-05-07,6,7,18,24,27,40
2024-05-09,4,6,9,10,13,39
2024-05-12,10,18,29,36,41,46
2024-05-14,4,16,25,28,38,47
2024-05-16,4,5,15,27,30,49
2024-05-19,16,17,18,37,44,45
2024-05-21,19,31,37,41,47,49
2024-05-23,7,10,12,22,24,33
2024-05-26,1,34,39,43,46,49
2024-05-28,14,15,23,30,35,45
2024-05-30,15,27,29,34,46,47
2024-06-02,8,15,17,29,40,41
2024-06-04,4,9,21,28,29,34
2024-06-06,3,13,18,27,30,35
2024-06-09,10,13,17,19,41,46
2024-06-11,3,13,14,35,40,46
2024-06-13,3,11,13,17,26,33
2024-06-16,4,11,27,28,41,43
2024-06-18,13,20,32,34,44,47
2024-06-20,1,3,12,18,36,42
2024-06-23,1,7,24,28,39,48
2024-06-25,1,22,32,38,45,47
2024-06-27,8,14,21,37,39,44
2024-06-30,7,8,26,29,41,49
2024-07-02,4,6,10,14,39,49
2024-07-04,7,14,18,31,34,40
2024-07-07,7,11,16,34,36,40
2024-07-09,2,5,18,22,34,46
2024-07-11,2,3,13,19,28,41
2024-07-14,5,7,27,43,46,49
2024-07-16,28,29,34,35,43,46
2024-07-18,24,31,33,37,41,49
2024-07-21,7,10,12,23,30,33
2024-07-23,8,19,21,39,43,48
2024-07-25,17,18,23,30,42,43
2024-07-28,13,21,32,34,46,47
2024-07-30,9,19,20,24,28,35
2024-08-01,2,12,17,27,31,41
2024-08-04,8,13,14,22,40,45
2024-08-06,3,24,27,28,41,49
2024-08-08,9,19,26,30,37,41
2024-08-11,4,22,25,30,42,43
2024-08-13,3,11,21,29,32,39
2024-08-15,4,5,27,29,39,43
2024-08-18,1,19,30,39,42,45
2024-08-20,4,6,15,17,18,41
2024-08-22,9,14,19,20,36,39
2024-08-25,2,20,23,31,36,41
2024-08-27,25,33,42,43,45,46
2024-08-29,1,3,9,10,32,44
2024-09-01,4,16,20,28,44,48
2024-09-03,1,11,13,18,20,44
2024-09-05,9,12,28,42,44,49
2024-09-08,3,7,35,38,43,49
2024-09-10,2,13,17,19,35,45
2024-09-12,5,12,18,24,38,44
2024-09-15,9,15,19,21,25,32
2024-09-17,18,19,26,32,41,45
2024-09-19,3,5,15,24,32,38
2024-09-22,6,10,18,35,45,47
2024-09-24,9,19,36,39,46,49
2024-09-26,6,20,25,30,39,46
2024-09-29,3,15,21,26,39,45
2024-10-01,22,23,27,42,43,47
2024-10-03,16,21,26,27,41,44
2024-10-06,1,6,9,23,36,42
2024-10-08,3,8,12,14,21,36
2024-10-10,5,16,31,41,43,45
2024-10-13,15,19,38,41,44,48
2024-10-15,8,14,20,22,32,35
2024-10-17,4,13,37,40,41,45
2024-10-20,1,20,22,29,31,32
2024-10-22,3,4,14,17,24,28
2024-10-24,2,13,18,24,45,49
2024-10-27,14,28,31,37,42,44
2024-10-29,3,27,34,37,39,43
2024-10-31,5,11,19,27,42,43
2024-11-03,6,8,12,20,41,48
2024-11-05,19,24,25,33,35,38
2024-11-07,7,26,32,40,48,49
2024-11-10,14,15,21,26,37,49
2024-11-12,3,8,10,14,23,44
2024-11-14,14,21,25,26,27,29
2024-11-17,2,14,23,32,40,46
2024-11-19,7,12,23,24,26,45
2024-11-21,12,18,24,27,37,40
2024-11-24,9,13,16,22,27,28
2024-11-26,9,29,30,31,33,43
2024-11-28,13,30,36,40,44,49
2024-12-01,5,8,11,13,17,18
2024-12-03,2,5,35,39,46,48
2024-12-05,11,21,23,24,31,47
2024-12-08,20,32,36,38,39,44
2024-12-10,5,7,32,36,42,45
2024-12-12,4,10,25,33,34,43
2024-12-15,11,12,20,29,39,45
2024-12-17,4,9,19,22,26,28
2024-12-19,8,9,14,28,36,41
2024-12-22,7,10,13,18,21,31
2024-12-24,2,12,16,41,44,45
2024-12-26,1,23,31,33,45,46
2024-12-29,1,12,13,19,41,48
2024-12-31,20,24,33,34,35,40
