date,n1,n2,n3,n4,n5,n6
2023-01-03,13,25,28,36,39,40
2023-01-05,9,15,32,36,37,39
2023-01-07,5,6,13,18,35,39
2023-01-10,1,4,8,16,26,29
2023-01-12,5,7,20,31,33,42
2023-01-14,5,12,31,34,37,41
2023-01-17,2,6,7,24,33,34
2023-01-19,1,5,11,23,29,31
2023-01-21,9,11,15,19,25,32
2023-01-24,3,14,30,35,40,42
2023-01-26,4,5,12,17,18,24
2023-01-28,1,14,20,23,26,37
2023-01-31,8,20,25,29,31,41
2023-02-02,2,4,16,19,27,29
2023-02-04,1,4,23,24,27,30
2023-02-07,14,21,22,27,30,42
2023-02-09,17,18,20,21,26,28
2023-02-11,1,19,21,34,35,39
2023-02-14,10,13,16,19,26,39
2023-02-16,2,27,31,35,38,42
2023-02-18,20,21,25,33,36,39
2023-02-21,3,16,30,36,39,41
2023-02-23,2,20,21,26,40,41
2023-02-25,9,19,28,32,34,37
2023-02-28,7,8,11,14,22,26
2023-03-02,9,19,21,23,28,36
2023-03-04,3,6,18,26,35,37
2023-03-07,3,5,7,16,34,42
2023-03-09,6,11,17,18,26,29
2023-03-11,3,9,12,18,22,33
2023-03-14,2,13,29,30,36,38
2023-03-16,15,17,18,21,34,35
2023-03-18,8,12,13,34,35,37
2023-03-21,2,3,13,19,23,24
2023-03-23,5,15,16,22,33,37
2023-03-25,7,17,20,33,34,39
2023-03-28,2,5,20,22,35,42
2023-03-30,13,20,22,37,38,42
2023-04-01,3,10,13,25,31,40
2023-04-04,4,16,33,36,37,42
2023-04-11,7,16,24,31,33,34
2023-04-13,4,5,19,30,37,42
2023-04-15,13,16,19,23,24,42
2023-04-18,1,21,23,36,37,42
2023-04-20,1,16,17,34,35,39
2023-04-22,3,15,18,24,27,40
2023-04-25,2,3,5,16,24,40
2023-04-27,9,11,35,36,38,42
2023-04-29,8,13,20,24,27,31
2023-05-02,6,8,11,28,32,42
2023-05-04,1,4,6,11,19,22
2023-05-06,2,4,24,26,28,35
2023-05-09,11,19,23,24,31,41
2023-05-11,1,7,8,19,26,36
2023-05-13,2,9,13,22,33,38
2023-05-16,1,4,9,25,28,41
2023-05-18,1,5,15,21,27,41
2023-05-20,2,18,21,22,36,39
2023-05-23,16,22,24,36,37,41
2023-05-25,15,18,21,35,37,41
2023-05-27,5,21,23,34,37,38
2023-05-30,7,8,15,19,27,39
2023-06-01,6,23,26,29,37,40
2023-06-03,3,7,10,12,20,28
2023-06-06,3,4,15,24,25,30
2023-06-08,6,7,11,36,40,41
2023-06-10,12,19,21,37,38,39
2023-06-13,8,9,16,32,36,40
2023-06-15,2,10,14,26,27,29
2023-06-17,8,10,13,21,26,35
2023-06-20,8,10,14,21,23,36
2023-06-22,9,19,26,31,32,38
2023-06-24,6,15,20,27,33,37
2023-06-27,16,19,20,27,28,39
2023-06-29,4,6,9,18,37,38
2023-07-01,12,13,14,18,22,25
2023-07-04,10,18,19,25,27,31
2023-07-06,5,8,29,33,39,41
2023-07-08,3,8,12,21,26,28
2023-07-11,7,19,21,23,36,41
2023-07-13,2,10,13,14,36,38
2023-07-15,5,16,18,35,36,39
2023-07-18,4,7,14,18,27,36
2023-07-20,18,19,22,23,28,36
2023-07-22,8,14,19,26,27,38
2023-07-25,7,12,13,29,36,37
2023-07-27,5,12,13,19,29,34
2023-07-29,8,12,13,21,28,41
2023-08-01,6,25,33,35,40,42
2023-08-03,6,14,16,21,22,29
2023-08-05,20,24,34,35,36,39
2023-08-08,14,23,24,36,37,41
2023-08-10,4,5,15,18,26,31
2023-08-12,10,12,13,24,31,36
2023-08-15,1,13,17,18,20,22
2023-08-17,7,9,10,22,27,36
2023-08-19,8,24,25,30,35,39
2023-08-22,10,14,18,21,24,38
2023-08-24,8,19,21,31,36,38
2023-08-26,12,22,23,32,40,41
2023-08-29,1,4,10,15,34,39
2023-08-31,6,7,10,11,21,29
2023-09-02,11,22,23,29,32,34
2023-09-05,13,21,25,27,32,40
2023-09-07,3,10,15,19,27,31
2023-09-09,3,9,11,19,35,41
2023-09-12,3,5,14,17,26,33
2023-09-14,3,4,6,13,27,35
2023-09-16,4,29,30,32,39,42
2023-09-19,4,5,11,24,33,34
2023-09-21,10,14,17,19,25,42
2023-09-23,13,15,22,27,36,38
2023-09-26,8,10,28,32,34,35
2023-09-28,5,11,20,22,28,42
2023-09-30,10,29,32,38,39,42
2023-10-03,5,8,10,13,20,42
2023-10-05,21,24,25,26,35,42
2023-10-07,8,17,21,28,38,42
2023-10-10,1,3,4,13,39,41
2023-10-12,6,13,25,34,41,42
2023-10-14,16,23,25,26,37,41
2023-10-17,14,21,22,30,38,40
2023-10-19,5,8,11,16,25,34
2023-10-21,2,3,14,17,22,39
2023-10-24,5,11,20,31,34,36
2023-10-26,4,16,27,33,35,37
2023-10-28,4,5,18,22,24,32
