date,jackpot,winners
2026-01-02,202600000.0,0
2026-01-04,202600000.0,0
2026-01-06,209639379.6,0
2026-01-09,218282070.8,0
2026-01-11,226887463.2,0
2026-01-13,235429574.8,0
2026-01-16,245418490.0,0
2026-01-18,254932636.4,0
2026-01-20,264032272.0,0
2026-01-23,274658188.4,0
2026-01-25,284636402.8,2
2026-01-27,49500000.0,0
2026-01-30,49500000.0,0
2026-02-01,75000000.0,0
2026-02-03,75000000.0,0
2026-02-06,75000000.0,0
2026-02-08,75000000.0,0
2026-02-10,75000000.0,0
2026-02-13,75000000.0,0
2026-02-15,75000000.0,0
2026-02-17,75000000.0,0
2026-02-20,75000000.0,0
2026-02-22,75000000.0,0
2026-02-24,75000000.0,0
2026-02-27,75000000.0,0
2026-03-01,75000000.0,0
2026-03-03,75000000.0,0
2026-03-06,79557596.52,0
2026-03-08,83702401.48,0
2026-03-10,87396535.7,0
2026-03-13,92255713.46,0
2026-03-15,96526694.36,0
2026-03-17,100331631.91,1
2026-03-20,75000000.0,0
2026-03-22,75000000.0,0
2026-03-24,75000000.0,0
2026-03-27,75000000.0,0
2026-03-29,75000000.0,0
2026-03-31,75000000.0,0
2026-04-05,75000000.0,0
2026-04-07,75000000.0,0
2026-04-10,75000000.0,0
2026-04-12,75000000.0,0
2026-04-14,75000000.0,0
2026-04-17,75000000.0,0
2026-04-19,75000000.0,0
2026-04-21,75000000.0,0
2026-04-24,75000000.0,0
2026-04-26,75000000.0,0
2026-04-28,75000000.0,0
2026-05-01,75000000.0,0
2026-05-03,75000000.0,0
2026-05-05,76305973.15,10
2026-05-08,75000000.0,0
2026-05-10,75000000.0,0
2026-05-12,75000000.0,0
2026-05-15,75000000.0,0
2026-05-17,75000000.0,0
2026-05-19,75000000.0,0
2026-05-22,75000000.0,0
2026-05-24,75000000.0,0
2026-05-26,75000000.0,0
2026-05-29,75000000.0,0
2026-05-31,75000000.0,0
2026-06-02,75000000.0,0
2026-06-05,75000000.0,0
2026-06-07,75000000.0,0
2026-06-09,75000000.0,0
2026-06-12,128000000.0,0
2026-06-14,128000000.0,0
2026-06-16,128000000.0,0
2026-06-19,128000000.0,0
2026-06-21,128000000.0,0
2026-06-23,128000000.0,0
2026-06-26,128000000.0,0
2026-06-28,128000000.0,0
2026-06-30,128000000.0,0
2026-07-03,128000000.0,0
2026-07-05,128000000.0,0
2026-07-07,128000000.0,0
2026-07-10,128000000.0,0
2026-07-12,128000000.0,0
2026-07-14,132124267.28,0
2026-07-17,137992907.31,0
2026-07-19,143365843.33,0
2026-07-21,148191891.86,0
2026-07-24,153993280.14,0
2026-07-26,159512434.42,0
2026-07-28,164653649.18,0
2026-07-31,170883452.24,0
2026-08-02,176930017.96,0
2026-08-04,182425805.15,0
2026-08-07,188654045.96,0
2026-08-09,194312640.43,0
2026-08-11,199976621.54,0
2026-08-14,206672120.91,0
2026-08-16,213102641.85,0
2026-08-18,218885620.58,0
2026-08-21,225889899.71,0
2026-08-23,232608532.87,0
2026-08-25,238841677.07,0
2026-08-28,245509447.55,0
2026-08-30,252060911.64,0
2026-09-01,258474543.62,0
2026-09-04,265466683.02,0
