date,n1,n2,n3,n4,n5,n6
2026-01-02,10,11,18,19,21,44
2026-01-05,2,3,9,21,27,45
2026-01-07,3,6,7,9,21,24
2026-01-09,13,16,18,25,35,43
2026-01-12,2,5,6,9,11,21
2026-01-14,3,4,5,10,16,43
2026-01-16,6,10,31,37,40,42
2026-01-19,3,10,15,17,41,43
2026-01-21,2,12,13,15,23,28
2026-01-23,1,4,16,27,31,43
2026-01-26,4,22,24,25,33,42
2026-01-28,3,4,8,9,27,35
2026-01-30,3,4,8,33,40,42
2026-02-02,1,6,10,21,25,28
2026-02-04,3,11,12,22,31,43
2026-02-06,2,22,35,38,39,44
2026-02-09,4,13,14,18,20,30
2026-02-11,12,15,17,32,40,45
2026-02-13,3,6,8,32,43,45
2026-02-16,3,6,10,17,21,34
2026-02-18,4,5,23,35,38,45
2026-02-20,2,14,17,20,28,31
2026-02-23,4,17,22,30,39,40
2026-02-25,2,3,15,22,25,40
2026-02-27,15,26,29,30,39,43
2026-03-02,12,25,27,33,40,45
2026-03-04,6,8,18,28,35,42
2026-03-06,2,4,27,31,33,37
2026-03-09,3,4,21,23,24,38
2026-03-11,10,19,20,23,31,36
2026-03-13,5,14,32,37,41,42
2026-03-16,6,8,14,24,34,45
2026-03-18,1,10,12,34,41,45
2026-03-20,3,4,19,25,28,31
2026-03-23,4,8,24,27,28,43
2026-03-25,5,10,15,17,24,29
2026-03-27,2,19,27,31,36,38
2026-03-30,3,7,13,24,27,43
2026-04-01,3,11,16,17,20,37
2026-04-06,10,13,19,33,37,44
2026-04-08,5,15,22,25,28,37
2026-04-10,5,7,9,16,19,44
2026-04-13,2,17,19,26,39,44
2026-04-15,21,26,27,37,39,43
2026-04-17,8,12,24,30,32,41
2026-04-20,8,12,17,27,29,34
2026-04-22,10,11,15,18,37,43
2026-04-24,11,15,33,38,41,43
2026-04-27,4,5,6,11,27,34
2026-04-29,22,23,27,33,35,43
2026-05-01,4,8,11,19,23,41
2026-05-04,5,8,21,28,34,41
2026-05-06,1,3,10,11,18,24
2026-05-08,4,9,12,22,23,32
2026-05-11,19,21,38,39,41,44
2026-05-13,16,23,29,31,33,45
2026-05-15,1,12,15,27,33,42
2026-05-18,4,7,23,24,37,39
2026-05-20,11,16,23,32,37,45
2026-05-22,3,9,27,34,37,42
2026-05-25,5,13,17,21,28,43
2026-05-27,8,9,18,23,36,43
2026-05-29,10,25,27,35,38,45
2026-06-01,5,28,35,38,40,41
2026-06-03,2,4,6,18,23,45
2026-06-05,1,4,18,38,42,44
2026-06-08,4,14,15,20,27,43
2026-06-10,14,20,28,42,44,45
2026-06-12,4,13,14,22,33,44
2026-06-15,10,14,18,21,35,44
2026-06-17,9,10,19,32,34,35
2026-06-19,8,9,12,13,15,27
2026-06-22,3,16,18,24,28,31
2026-06-24,19,21,27,29,33,41
2026-06-26,5,9,10,22,41,45
2026-06-29,6,13,18,21,33,44
2026-07-01,2,4,17,19,24,36
2026-07-03,1,2,5,13,36,43
2026-07-06,3,6,16,32,36,45
2026-07-08,5,11,13,22,25,30
2026-07-10,1,25,31,40,43,44
2026-07-13,16,22,26,32,33,43
2026-07-15,4,9,21,24,44,45
2026-07-17,6,10,14,15,17,42
2026-07-20,5,8,11,19,38,42
2026-07-22,1,8,13,14,29,39
2026-07-24,2,11,14,19,20,31
2026-07-27,5,14,26,34,37,42
2026-07-29,7,8,13,22,39,43
2026-07-31,5,8,12,29,31,38
2026-08-03,8,27,29,32,34,36
2026-08-05,2,6,11,28,29,31
2026-08-07,3,6,12,21,25,32
2026-08-10,5,19,23,27,37,39
2026-08-12,2,11,22,25,26,37
2026-08-14,9,19,29,32,34,38
2026-08-17,1,10,30,33,41,43
2026-08-19,1,19,26,32,40,43
2026-08-21,5,13,14,19,22,25
2026-08-24,8,12,32,36,40,44
2026-08-26,2,7,17,23,27,43
