date,jackpot,winners
2021-08-01,35275956.0,0
2021-08-03,37454486.8,0
2021-08-05,40001165.6,0
2021-08-08,42032133.0,0
2021-08-10,43949892.8,0
2021-08-12,46384474.0,0
2021-08-15,48589712.2,1
2021-08-17,15840000.0,0
2021-08-19,15840000.0,0
2021-08-22,15840000.0,0
2021-08-24,15840000.0,0
2021-08-26,15840000.0,0
2021-08-29,15840000.0,0
2021-08-31,15840000.0,0
2021-09-02,18803245.4,0
2021-09-05,21666051.4,0
2021-09-07,24009841.4,0
2021-09-09,27238425.8,0
2021-09-12,30047170.4,0
2021-09-14,32484822.6,0
2021-09-16,35834330.0,0
2021-09-19,38935305.4,0
2021-09-21,41558288.0,0
2021-09-23,44950218.0,0
2021-09-26,48278215.2,0
2021-09-28,51023230.8,0
2021-09-30,55270601.6,0
2021-10-03,59135096.0,0
2021-10-05,62477250.2,0
2021-10-07,67048032.0,0
2021-10-10,71122046.0,0
2021-10-12,74573439.4,0
2021-10-14,78974193.0,0
2021-10-17,83406406.4,0
2021-10-19,87368680.6,0
2021-10-21,92266370.6,0
2021-10-24,97092674.4,0
2021-10-26,101684788.8,0
2021-10-28,107635027.6,0
2021-10-31,113652498.4,0
2021-11-02,119006735.2,0
2021-11-04,125692139.2,1
2021-11-07,15840000.0,0
2021-11-09,15840000.0,1
2021-11-11,15840000.0,0
2021-11-14,15840000.0,0
2021-11-16,15840000.0,0
2021-11-18,15840000.0,0
2021-11-21,19258656.6,0
2021-11-23,22725901.6,0
2021-11-25,27444921.8,0
2021-11-28,31792850.6,0
2021-11-30,35457422.6,0
2021-12-02,40350451.6,0
2021-12-05,45045300.2,0
2021-12-07,49281828.4,0
2021-12-09,54314585.2,0
2021-12-12,59654675.6,0
2021-12-14,64628064.8,0
2021-12-16,69942001.6,0
2021-12-19,74715890.2,0
2021-12-21,79619495.4,0
2021-12-23,85364044.2,0
2021-12-26,90310805.2,0
2021-12-28,95981481.4,0
2021-12-30,102533940.4,0
