date,jackpot,winners
2023-01-03,6890530.2,0
2023-01-05,11006275.2,0
2023-01-07,15660874.8,0
2023-01-10,20045611.6,0
2023-01-12,24919457.0,0
2023-01-14,30382081.4,0
2023-01-17,35314806.6,1
2023-01-19,5940000.0,0
2023-01-21,7947435.0,0
2023-01-24,11660311.6,0
2023-01-26,16101832.8,0
2023-01-28,20815329.8,0
2023-01-31,25490659.0,1
2023-02-02,5940000.0,1
2023-02-04,5940000.0,0
2023-02-07,7356078.2,0
2023-02-09,11233506.2,0
2023-02-11,15611420.6,0
2023-02-14,19433863.4,0
2023-02-16,23957900.8,0
2023-02-18,28649604.6,0
2023-02-21,33547590.8,0
2023-02-23,39442156.2,0
2023-02-25,44794007.6,0
2023-02-28,50796013.0,1
2023-03-02,5940000.0,0
2023-03-04,8149079.4,0
2023-03-07,11828465.8,0
2023-03-09,16319245.2,1
2023-03-11,5940000.0,0
2023-03-14,7444988.6,0
2023-03-16,11515675.0,0
2023-03-18,15912672.8,0
2023-03-21,19990569.2,0
2023-03-23,25115145.6,0
2023-03-25,30199891.4,0
2023-03-28,35308795.6,0
2023-03-30,41254992.2,0
2023-04-01,47492279.8,0
2023-04-04,53799153.4,0
2023-04-11,60503890.8,0
2023-04-13,66941266.0,0
2023-04-15,74355879.4,0
2023-04-18,82139803.6,2
2023-04-20,5940000.0,0
2023-04-22,7432460.2,0
2023-04-25,10747794.6,0
2023-04-27,14634440.0,0
2023-04-29,18825922.8,0
2023-05-02,23020467.8,0
2023-05-04,28224209.8,0
2023-05-06,33195168.8,0
2023-05-09,37982691.4,0
2023-05-11,44070179.4,1
2023-05-13,5940000.0,0
2023-05-16,7323046.0,0
2023-05-18,11141838.6,0
2023-05-20,15393333.2,0
2023-05-23,19162515.2,0
2023-05-25,23234133.2,0
2023-05-27,27965455.0,0
2023-05-30,32169509.2,0
2023-06-01,37029943.0,0
2023-06-03,42751862.8,2
2023-06-06,5940000.0,0
2023-06-08,7275065.0,0
2023-06-10,11161496.8,0
2023-06-13,14897350.4,0
2023-06-15,19503581.4,0
2023-06-17,24296322.2,0
2023-06-20,29046723.0,0
2023-06-22,34824573.8,0
2023-06-24,40498573.2,0
2023-06-27,46545659.2,0
2023-06-29,53962120.2,0
2023-07-01,61234178.2,1
2023-07-04,5940000.0,1
2023-07-06,5940000.0,0
2023-07-08,7656441.8,1
2023-07-11,5940000.0,0
2023-07-13,6389050.6,0
2023-07-15,10393564.6,0
2023-07-18,14002606.4,0
2023-07-20,18132604.2,0
2023-07-22,22821402.2,1
2023-07-25,5940000.0,0
2023-07-27,6446797.4,0
2023-07-29,9965962.0,0
2023-08-01,13690185.6,0
2023-08-03,18307868.2,0
2023-08-05,22896342.8,1
2023-08-08,5940000.0,0
2023-08-10,6746203.0,0
2023-08-12,10518904.2,0
2023-08-15,14070525.2,0
2023-08-17,18611973.4,1
2023-08-19,5940000.0,0
2023-08-22,6796188.0,0
2023-08-24,10410422.6,0
2023-08-26,14187192.4,0
2023-08-29,17785004.0,0
2023-08-31,22056462.8,0
2023-09-02,26517289.8,0
2023-09-05,31058851.4,0
2023-09-07,36257127.4,1
2023-09-09,5940000.0,0
2023-09-12,7058280.2,0
2023-09-14,10586627.0,0
2023-09-16,14713518.6,0
2023-09-19,18121104.2,0
2023-09-21,21966450.2,1
2023-09-23,5940000.0,0
2023-09-26,6657027.2,0
2023-09-28,9823403.2,0
2023-09-30,14014890.4,0
2023-10-03,17407569.2,0
2023-10-05,21249596.4,0
2023-10-07,25911745.2,0
2023-10-10,29940313.0,0
2023-10-12,34562804.2,1
2023-10-14,5940000.0,0
2023-10-17,7176994.4,0
2023-10-19,10911401.2,0
2023-10-21,15027455.6,0
2023-10-24,18957242.6,0
2023-10-26,23994560.2,0
2023-10-28,28824637.4,0
2023-10-31,89000000.0,0
2023-11-02,94859856.2,0
2023-11-04,102254379.4,1
2023-11-07,5940000.0,0
2023-11-09,6991276.4,0
2023-11-11,10874702.2,1
2023-11-14,5940000.0,1
2023-11-16,5940000.0,0
2023-11-18,7688392.8,0
2023-11-21,11191065.0,0
2023-11-23,15274031.0,0
2023-11-25,19634578.6,0
2023-11-28,23680623.2,0
2023-11-30,28612882.6,1
2023-12-02,5940000.0,0
2023-12-05,7704008.8,0
2023-12-07,12033071.2,0
2023-12-09,16640656.6,1
2023-12-12,5940000.0,0
2023-12-14,7748575.2,0
2023-12-16,12277242.8,0
2023-12-19,16945607.4,0
2023-12-21,23618598.6,0
2023-12-23,30012060.4,0
2023-12-26,35642417.2,0
2023-12-28,43882361.6,1
2023-12-30,100000000.0,0
