date,n1,n2,n3,n4,n5,n6
2021-08-02,10,16,26,38,41,44
2021-08-04,2,23,24,34,38,42
2021-08-06,9,11,24,32,33,42
2021-08-09,2,15,23,24,41,42
2021-08-11,8,15,20,21,23,44
2021-08-13,8,19,28,38,42,43
2021-08-16,3,8,10,13,37,41
2021-08-18,9,20,28,31,32,38
2021-08-20,3,8,9,10,32,34
2021-08-23,5,16,23,24,36,37
2021-08-25,12,21,29,38,43,44
2021-08-27,11,14,22,35,42,45
2021-08-30,5,13,19,20,41,42
2021-09-01,14,26,30,31,37,38
2021-09-03,1,6,16,23,28,34
2021-09-06,11,16,31,40,43,45
2021-09-08,2,10,14,17,35,42
2021-09-10,10,18,29,34,38,44
2021-09-13,4,13,19,39,41,42
2021-09-15,17,18,29,30,38,43
2021-09-17,1,20,21,30,40,42
2021-09-20,5,18,20,22,30,44
2021-09-22,3,18,19,31,37,40
2021-09-24,2,4,6,24,28,41
2021-09-27,3,7,8,35,44,45
2021-09-29,3,7,10,11,14,30
2021-10-01,9,10,13,19,29,30
2021-10-04,2,6,19,22,34,38
2021-10-06,6,7,34,35,38,41
2021-10-08,5,11,29,38,39,41
2021-10-11,25,30,38,39,43,44
2021-10-13,24,25,31,35,41,43
2021-10-15,13,21,23,25,37,44
2021-10-18,5,21,24,28,29,40
2021-10-20,1,2,15,18,30,45
2021-10-22,5,25,30,37,38,41
2021-10-25,20,26,34,37,40,44
2021-10-27,4,25,26,33,34,36
2021-10-29,10,12,26,27,37,42
2021-11-01,3,7,13,15,35,38
2021-11-03,4,8,13,28,34,38
2021-11-05,9,10,17,24,32,33
2021-11-08,14,15,21,35,40,42
2021-11-10,5,14,15,16,41,44
2021-11-12,6,14,29,35,38,41
2021-11-15,7,28,39,41,42,44
2021-11-17,3,15,18,26,28,38
2021-11-19,2,23,25,35,38,41
2021-11-22,8,9,17,23,34,40
2021-11-24,2,13,19,28,29,38
2021-11-26,12,15,20,23,28,43
2021-11-29,1,8,17,23,30,38
2021-12-01,1,25,26,27,30,45
2021-12-03,12,25,33,34,35,36
2021-12-06,5,18,30,31,32,38
2021-12-08,2,8,37,39,43,44
2021-12-10,3,18,23,27,33,42
2021-12-13,4,7,10,12,36,40
2021-12-15,3,8,14,20,21,24
2021-12-17,5,20,29,36,43,45
2021-12-20,13,18,20,26,30,37
2021-12-22,6,7,17,23,36,40
2021-12-24,6,21,26,31,33,36
2021-12-27,8,19,21,34,37,43
2021-12-29,3,15,18,25,29,39
2021-12-31,3,15,16,18,19,39
