date,jackpot,winners
2022-10-02,102294180.0,0
2022-10-04,106603267.2,0
2022-10-07,112756610.0,0
2022-10-09,117756717.2,0
2022-10-11,122557068.8,0
2022-10-14,128936584.8,0
2022-10-16,134489732.4,0
2022-10-18,139640275.6,0
2022-10-21,146528053.2,0
2022-10-23,152287283.6,0
2022-10-25,158067330.4,0
2022-10-28,165457302.0,0
2022-10-30,172194687.6,0
2022-11-01,177575689.6,0
2022-11-04,186415949.6,0
2022-11-06,194908539.2,0
2022-11-08,203672278.8,0
2022-11-11,214398383.2,0
2022-11-13,224300873.6,0
2022-11-15,234226692.8,0
2022-11-18,246887208.8,0
2022-11-20,258135624.0,0
2022-11-22,269003650.4,0
2022-11-25,281543624.0,0
2022-11-27,293032824.8,0
2022-11-29,304963600.8,0
2022-12-02,319977404.0,0
2022-12-04,333985864.4,0
2022-12-06,348374388.0,0
2022-12-09,364223042.8,0
2022-12-11,378921691.6,0
2022-12-13,393783039.2,0
2022-12-16,411769310.8,0
2022-12-18,428626010.0,0
2022-12-20,446857427.6,0
2022-12-23,470813166.0,0
2022-12-27,492970782.8,0
2022-12-30,521275111.6,2
