date,n1,n2,n3,n4,n5,n6
2021-08-01,18,28,32,34,36,39
2021-08-03,21,25,28,33,34,45
2021-08-05,4,11,12,22,25,26
2021-08-08,12,25,35,37,42,46
2021-08-10,22,32,33,34,41,47
2021-08-12,7,13,17,28,45,49
2021-08-15,1,7,9,12,24,26
2021-08-17,7,17,27,31,35,40
2021-08-19,4,5,22,43,45,46
2021-08-22,6,11,14,18,27,39
2021-08-24,24,26,28,40,41,48
2021-08-26,9,10,25,27,35,46
2021-08-29,9,19,24,26,39,46
2021-08-31,14,26,41,42,43,45
2021-09-02,4,11,13,17,29,43
2021-09-05,17,20,32,41,43,46
2021-09-07,14,20,31,33,47,49
2021-09-09,5,17,22,24,35,42
2021-09-12,10,15,20,23,26,27
2021-09-14,11,14,19,20,33,43
2021-09-16,18,22,30,46,47,48
2021-09-19,8,23,26,40,45,47
2021-09-21,9,22,29,37,38,43
2021-09-23,17,20,28,37,38,41
2021-09-26,3,5,12,33,35,43
2021-09-28,2,8,18,41,44,45
2021-09-30,20,21,26,29,39,46
2021-10-03,5,14,22,23,26,34
2021-10-05,2,12,34,43,47,48
2021-10-07,15,20,21,25,27,33
2021-10-10,9,10,30,35,43,46
2021-10-12,3,10,20,31,36,44
2021-10-14,8,18,43,47,48,49
2021-10-17,7,15,25,37,38,43
2021-10-19,13,31,32,34,39,43
2021-10-21,9,24,26,33,36,42
2021-10-24,3,8,12,18,27,44
2021-10-26,1,16,19,26,30,42
2021-10-28,6,7,9,10,36,40
2021-10-31,2,14,17,18,32,48
2021-11-02,1,10,15,17,26,32
2021-11-04,3,5,10,17,43,49
2021-11-07,19,20,24,26,44,45
2021-11-09,1,8,19,21,38,41
2021-11-11,12,15,16,35,38,46
2021-11-14,21,23,30,38,44,47
2021-11-16,4,5,12,13,16,42
2021-11-18,1,8,25,26,27,33
2021-11-21,8,13,16,22,38,48
2021-11-23,13,30,37,45,46,49
2021-11-25,1,16,20,27,39,45
2021-11-28,9,13,27,33,47,48
2021-11-30,15,19,36,40,46,48
2021-12-02,1,7,12,16,17,29
2021-12-05,8,19,22,26,27,48
2021-12-07,5,13,33,38,40,46
2021-12-09,3,12,21,29,31,43
2021-12-12,2,14,16,28,36,45
2021-12-14,4,5,16,18,20,44
2021-12-16,9,10,16,17,43,47
2021-12-19,4,12,18,35,48,49
2021-12-21,3,4,11,16,22,34
2021-12-23,11,14,18,22,30,43
2021-12-26,3,5,25,31,35,39
2021-12-28,13,19,27,33,44,45
2021-12-30,1,2,23,24,34,37
