date,n1,n2,n3,n4,n5,n6
2026-01-01,18,19,21,23,30,41
2026-01-04,13,19,23,24,35,39
2026-01-06,5,18,27,33,36,48
2026-01-08,9,11,12,24,26,30
2026-01-11,12,22,26,30,32,36
2026-01-13,6,15,25,26,27,28
2026-01-15,5,10,11,14,15,24
2026-01-18,5,19,20,32,35,37
2026-01-20,2,3,4,5,15,23
2026-01-22,1,10,24,26,36,48
2026-01-25,3,23,26,31,42,44
2026-01-27,10,20,23,26,33,41
2026-01-29,5,7,10,15,31,34
2026-02-01,2,8,10,15,21,25
2026-02-03,2,7,12,15,18,39
2026-02-05,12,16,17,36,42,49
2026-02-08,4,9,11,14,34,39
2026-02-10,3,20,27,28,30,34
2026-02-12,2,21,24,36,37,40
2026-02-15,3,15,25,27,40,48
2026-02-17,15,17,26,40,45,49
2026-02-19,9,31,34,40,42,43
2026-02-22,2,5,14,16,17,43
2026-02-24,6,13,20,28,42,47
2026-02-26,13,22,26,30,44,46
2026-03-01,6,12,17,19,23,37
2026-03-03,2,8,13,29,41,44
2026-03-05,23,25,37,39,44,48
2026-03-08,7,13,14,15,26,32
2026-03-10,16,19,32,42,44,46
2026-03-12,1,3,10,34,38,41
2026-03-15,9,22,23,24,25,32
2026-03-17,9,22,25,33,37,44
2026-03-19,4,13,20,21,32,43
2026-03-22,10,16,31,32,45,47
2026-03-24,16,19,26,31,32,45
2026-03-26,2,4,19,25,33,46
2026-03-29,6,9,15,18,22,33
2026-03-31,8,17,18,22,28,42
2026-04-05,18,29,30,39,42,44
2026-04-07,4,25,28,36,44,46
2026-04-09,2,6,10,14,27,28
2026-04-12,7,26,29,43,48,49
2026-04-14,11,20,23,35,38,47
2026-04-16,9,24,27,31,34,35
2026-04-19,14,16,21,35,37,43
2026-04-21,10,13,19,36,43,45
2026-04-23,1,8,11,18,35,40
2026-04-26,1,9,33,34,44,48
2026-04-28,5,9,16,27,34,42
2026-04-30,23,24,40,41,42,46
2026-05-03,14,35,37,43,44,47
2026-05-05,3,6,8,31,44,49
2026-05-07,2,11,24,33,47,48
2026-05-10,3,4,11,14,16,38
2026-05-12,6,15,23,24,40,44
2026-05-14,4,12,19,24,25,43
2026-05-17,11,14,17,18,27,46
2026-05-19,4,5,14,35,44,49
2026-05-21,2,9,21,23,28,37
2026-05-24,4,9,12,13,24,33
2026-05-26,10,21,30,45,48,49
2026-05-28,1,17,29,39,40,47
2026-05-31,3,7,11,18,21,43
2026-06-02,5,8,14,27,36,40
2026-06-04,2,3,11,16,25,27
2026-06-07,25,31,33,41,42,44
2026-06-09,3,4,15,17,22,43
2026-06-11,8,13,14,21,24,40
2026-06-14,4,6,7,8,16,47
2026-06-16,2,17,20,28,33,36
2026-06-18,6,16,20,21,26,27
2026-06-21,13,24,27,33,42,44
2026-06-23,8,12,27,32,42,44
2026-06-25,15,19,25,36,46,49
2026-06-28,1,14,23,29,32,35
2026-06-30,5,10,22,26,44,47
2026-07-02,5,22,23,38,44,48
2026-07-05,2,14,15,33,34,40
2026-07-07,3,11,18,19,26,42
2026-07-09,10,16,21,23,36,44
2026-07-12,17,32,35,46,47,49
2026-07-14,11,17,18,22,36,37
2026-07-16,5,9,18,23,26,34
2026-07-19,2,15,25,28,37,41
2026-07-21,8,15,37,42,44,48
2026-07-23,1,11,26,36,38,39
2026-07-26,4,5,10,13,14,19
2026-07-28,5,13,15,21,37,40
2026-07-30,1,2,25,36,44,47
2026-08-02,1,7,16,23,35,37
2026-08-04,11,12,20,26,36,44
2026-08-06,5,13,30,36,39,49
2026-08-09,8,18,24,32,40,47
2026-08-11,5,13,18,23,40,45
2026-08-13,3,14,23,26,38,39
2026-08-16,6,12,15,26,30,49
