date,n1,n2,n3,n4,n5,n6
2023-01-02,4,15,17,26,34,38
2023-01-04,7,24,31,37,38,45
2023-01-06,4,6,12,33,41,44
2023-01-09,5,9,25,28,33,45
2023-01-11,15,20,29,30,31,45
2023-01-13,9,14,18,33,35,39
2023-01-16,9,13,15,16,31,32
2023-01-18,3,5,7,10,37,38
2023-01-20,5,21,28,34,39,45
2023-01-23,7,15,18,32,33,39
2023-01-25,7,8,20,29,32,34
2023-01-27,14,21,29,34,37,42
2023-01-30,3,16,18,20,35,41
2023-02-01,5,21,27,29,37,42
2023-02-03,5,7,11,28,40,43
2023-02-06,12,14,15,21,25,38
2023-02-08,9,16,18,20,34,45
2023-02-10,6,9,20,29,38,43
2023-02-13,6,19,21,25,32,42
2023-02-15,5,8,14,30,40,43
2023-02-17,4,27,33,39,43,44
2023-02-20,10,14,17,21,23,31
2023-02-22,1,22,27,31,37,43
2023-02-24,8,10,22,36,38,45
2023-02-27,4,9,11,15,25,35
2023-03-01,1,4,7,13,42,44
2023-03-03,19,25,27,30,38,39
2023-03-06,5,11,18,26,43,45
2023-03-08,15,23,24,25,34,40
2023-03-10,7,25,28,31,32,36
2023-03-13,5,9,18,34,40,45
2023-03-15,5,11,13,18,23,39
2023-03-17,1,4,7,27,34,43
2023-03-20,11,17,30,37,39,42
2023-03-22,1,2,3,8,23,41
2023-03-24,2,20,23,32,37,44
2023-03-27,7,9,11,13,40,43
2023-03-29,23,29,31,32,34,40
2023-03-31,9,19,20,37,40,43
2023-04-03,8,28,37,40,42,45
2023-04-05,7,9,13,26,40,42
2023-04-10,15,28,30,34,41,43
2023-04-12,8,13,21,25,26,39
2023-04-14,5,13,22,28,30,36
2023-04-17,5,10,15,17,41,42
2023-04-19,2,33,37,42,43,44
2023-04-21,6,25,27,30,33,41
2023-04-24,2,11,13,16,42,45
2023-04-26,1,7,21,25,29,34
2023-04-28,4,15,27,38,42,45
2023-05-01,5,20,24,27,37,39
2023-05-03,4,15,17,27,33,40
2023-05-05,10,15,16,32,39,42
2023-05-08,4,25,26,40,42,44
2023-05-10,2,5,7,15,25,41
2023-05-12,1,5,14,25,36,44
2023-05-15,5,8,14,25,35,38
2023-05-17,10,13,23,34,35,37
2023-05-19,4,6,10,29,36,42
2023-05-22,19,22,31,33,40,43
2023-05-24,6,15,23,28,37,45
2023-05-26,5,10,15,30,32,41
2023-05-29,13,22,28,37,40,41
2023-05-31,3,16,17,20,23,35
2023-06-02,3,5,9,11,15,25
2023-06-05,1,2,8,20,22,45
2023-06-07,8,10,18,27,36,40
2023-06-09,7,8,14,29,32,35
2023-06-12,1,3,23,31,39,43
2023-06-14,10,17,21,22,28,40
2023-06-16,5,15,16,20,26,33
2023-06-19,10,11,14,21,27,42
2023-06-21,3,9,11,13,22,31
2023-06-23,19,24,25,31,41,42
2023-06-26,6,12,14,26,40,44
2023-06-28,3,8,13,30,31,43
2023-06-30,8,14,15,29,32,40
2023-07-03,3,18,19,29,33,35
2023-07-05,8,18,24,29,39,44
2023-07-07,4,7,31,33,35,44
2023-07-10,13,26,38,41,42,45
2023-07-12,2,13,19,21,36,38
2023-07-14,8,12,15,16,41,43
2023-07-17,10,13,18,31,34,37
2023-07-19,6,7,10,11,23,43
2023-07-21,7,13,26,40,41,42
2023-07-24,16,18,20,21,27,38
2023-07-26,1,2,7,12,38,41
2023-07-28,9,10,23,36,42,43
2023-07-31,7,9,29,31,35,44
2023-08-02,10,14,16,18,20,39
2023-08-04,4,7,16,30,39,42
2023-08-07,10,16,25,30,32,43
2023-08-09,3,4,12,38,39,44
2023-08-11,1,6,10,13,24,42
2023-08-14,2,20,28,37,39,44
2023-08-16,3,4,5,35,40,44
2023-08-18,10,11,17,36,42,45
2023-08-21,9,13,32,33,35,45
2023-08-23,13,26,39,42,43,45
2023-08-25,3,12,18,19,32,38
2023-08-28,5,9,28,30,31,45
2023-08-30,5,11,19,23,30,37
2023-09-01,12,18,30,35,39,42
2023-09-04,6,21,26,32,37,39
2023-09-06,8,12,23,32,33,42
2023-09-08,4,15,17,33,38,43
2023-09-11,1,5,6,10,20,23
2023-09-13,12,22,24,30,41,43
2023-09-15,11,18,25,31,41,44
2023-09-18,5,16,21,24,26,37
2023-09-20,2,13,18,29,41,44
2023-09-22,3,20,26,29,31,37
2023-09-25,3,7,16,29,31,33
2023-09-27,1,21,32,34,36,42
2023-09-29,6,11,23,27,36,38
2023-10-02,5,8,13,25,29,38
2023-10-04,2,25,30,32,42,43
2023-10-06,9,25,26,34,38,45
2023-10-09,1,7,10,11,34,41
2023-10-11,5,6,12,13,31,41
2023-10-13,11,18,19,32,33,39
2023-10-16,4,8,15,40,44,45
2023-10-18,4,15,26,29,34,36
2023-10-20,5,15,17,30,36,37
2023-10-23,3,8,12,22,27,42
2023-10-25,2,4,20,28,34,42
2023-10-27,3,5,13,19,20,29
2023-10-30,3,30,35,40,41,42
2023-11-01,1,14,15,17,24,38
2023-11-03,1,14,25,32,38,43
2023-11-06,1,10,13,16,25,31
2023-11-08,2,5,16,21,41,42
2023-11-10,6,8,13,34,37,41
2023-11-13,10,14,15,20,24,35
2023-11-15,5,15,32,34,36,45
2023-11-17,14,18,19,23,26,42
2023-11-20,6,8,27,31,32,44
2023-11-22,15,20,33,39,42,43
2023-11-24,1,20,23,31,36,43
2023-11-27,6,22,23,25,29,36
2023-11-29,5,11,18,20,33,37
2023-12-01,23,24,25,38,39,44
2023-12-04,6,7,23,27,28,40
2023-12-06,10,12,15,23,40,42
2023-12-08,1,3,19,22,30,44
2023-12-11,4,19,25,32,37,38
2023-12-13,1,17,18,19,40,41
2023-12-15,1,13,14,32,34,35
2023-12-18,1,6,9,20,29,33
2023-12-20,6,9,20,27,32,43
2023-12-22,1,5,6,13,33,41
2023-12-27,13,17,18,25,37,39
2023-12-29,4,6,12,16,17,28
