date,jackpot,winners
2022-01-03,49182969.4,0
2022-01-05,53073962.0,0
2022-01-08,57186527.0,0
2022-01-10,60521432.6,0
2022-01-12,62288626.4,0
2022-01-15,65991571.0,1
2022-01-17,29700000.0,0
2022-01-19,29700000.0,0
2022-01-22,29700000.0,0
2022-01-24,29700000.0,0
2022-01-26,29700000.0,0
2022-01-29,29700000.0,0
2022-01-31,29700000.0,0
2022-02-02,29700000.0,0
2022-02-05,29700000.0,0
2022-02-07,32727317.2,0
2022-02-09,35799081.2,0
2022-02-12,39511586.8,0
2022-02-14,42514960.8,0
2022-02-16,45732681.6,0
2022-02-19,49517797.8,0
2022-02-21,53617177.0,0
2022-02-23,57977506.6,0
2022-02-26,62489290.8,0
2022-02-28,67111006.8,0
2022-03-02,71997929.0,0
2022-03-05,77187174.8,0
2022-03-07,82294341.4,0
2022-03-09,87696656.8,0
2022-03-12,93297605.2,0
2022-03-14,98551582.0,1
2022-03-16,29700000.0,0
2022-03-19,29700000.0,0
2022-03-21,29700000.0,0
2022-03-23,29700000.0,0
2022-03-26,29700000.0,0
2022-03-28,29700000.0,0
2022-03-30,29700000.0,0
2022-04-02,29700000.0,0
2022-04-04,31149556.6,0
2022-04-06,34897519.2,0
2022-04-09,38553171.0,0
2022-04-11,42071986.6,0
2022-04-13,45842548.4,0
2022-04-18,49610541.2,0
2022-04-20,53348024.4,0
2022-04-23,57213525.2,0
2022-04-25,61356722.0,0
2022-04-27,65638743.8,0
2022-04-30,69834391.0,0
2022-05-02,74281644.6,0
2022-05-04,78828589.6,0
2022-05-07,83681670.2,0
2022-05-09,86950282.2,0
2022-05-11,91722175.6,0
2022-05-14,97116249.2,0
2022-05-16,102417050.0,0
2022-05-18,108162917.6,0
2022-05-21,115669273.6,0
2022-05-23,122419120.0,0
2022-05-25,129377073.2,0
2022-05-28,136876472.8,0
2022-05-30,144219795.6,0
2022-06-01,151908888.0,0
2022-06-04,160605505.6,0
2022-06-06,168490499.2,0
2022-06-08,176469503.2,0
2022-06-11,185697874.0,0
2022-06-13,194719453.6,0
2022-06-15,205096576.4,0
2022-06-18,219236988.4,0
2022-06-20,232111463.2,0
2022-06-22,247174000.8,0
2022-06-25,265279398.0,0
2022-06-27,281185257.2,0
2022-06-29,298452472.0,0
2022-07-02,320667244.8,0
2022-07-04,341149702.4,0
2022-07-06,367534100.0,0
2022-07-09,401186804.8,1
2022-07-11,29700000.0,0
2022-07-13,29700000.0,0
2022-07-16,29700000.0,0
2022-07-18,29700000.0,0
2022-07-20,29700000.0,0
2022-07-23,29700000.0,0
2022-07-25,30645641.4,0
2022-07-27,35028717.8,0
2022-07-30,39680965.4,0
2022-08-01,44170777.0,0
2022-08-03,48769414.8,0
2022-08-06,53639226.8,0
2022-08-08,58324662.0,0
2022-08-10,63122404.0,0
2022-08-13,68629477.0,0
2022-08-15,73746396.2,0
2022-08-17,79131972.4,0
2022-08-20,85396279.2,0
2022-08-22,90620159.4,0
2022-08-24,96891271.0,0
2022-08-27,103984532.4,0
2022-08-29,110823311.6,0
2022-08-31,118243542.0,0
2022-09-03,125789740.0,0
2022-09-05,133601552.8,0
2022-09-07,141442176.8,0
2022-09-10,149761384.4,0
2022-09-12,157728028.8,0
2022-09-14,165711186.4,0
2022-09-17,176260573.6,0
2022-09-19,184889840.4,0
2022-09-21,194089549.6,0
2022-09-24,204736854.4,0
2022-09-26,214188190.8,0
2022-09-28,224290071.6,0
2022-10-01,236091188.4,433
2022-10-03,29700000.0,0
2022-10-05,29700000.0,0
2022-10-08,29700000.0,0
2022-10-10,29700000.0,0
2022-10-12,29700000.0,0
2022-10-15,29700000.0,0
2022-10-17,29700000.0,0
2022-10-19,31307988.0,0
2022-10-22,35410477.8,1
2022-10-24,29700000.0,0
2022-10-26,29700000.0,0
2022-10-29,29700000.0,0
2022-10-31,29700000.0,0
2022-11-02,29700000.0,0
2022-11-05,29700000.0,1
2022-11-07,29700000.0,0
2022-11-09,29700000.0,0
2022-11-12,29700000.0,0
2022-11-14,29700000.0,0
2022-11-16,29700000.0,0
2022-11-19,29700000.0,0
2022-11-21,29700000.0,0
2022-11-23,32504433.4,0
2022-11-26,36681911.2,0
2022-11-28,40652082.6,0
2022-11-30,44659172.0,0
2022-12-03,49753347.8,0
2022-12-05,54048468.4,0
2022-12-07,58476059.4,0
2022-12-10,63522886.2,0
2022-12-12,68210521.4,0
2022-12-14,72906198.0,0
2022-12-17,78477700.4,0
2022-12-19,83661736.8,0
2022-12-21,89533642.4,0
2022-12-24,93531352.6,0
2022-12-26,100532794.0,0
2022-12-28,108934440.0,0
2022-12-31,115262757.6,0
