date,jackpot,winners
2024-07-02,101347894.0,0
2024-07-04,108686706.8,0
2024-07-07,116785144.4,0
2024-07-09,124051449.6,0
2024-07-11,131924972.4,0
2024-07-14,140610942.0,0
2024-07-16,148846017.2,0
2024-07-18,157395155.6,1
2024-07-21,15840000.0,0
2024-07-23,15840000.0,0
2024-07-25,15840000.0,0
2024-07-28,15840000.0,0
2024-07-30,16423789.2,0
2024-08-01,20077863.2,1
2024-08-04,15840000.0,0
2024-08-06,15840000.0,0
2024-08-08,15840000.0,0
2024-08-11,15840000.0,1
2024-08-13,15840000.0,0
2024-08-15,15840000.0,0
2024-08-18,15840000.0,0
2024-08-20,15840000.0,0
2024-08-22,16127898.4,0
2024-08-25,19488273.8,0
2024-08-27,22476089.0,0
2024-08-29,26612908.2,0
2024-09-01,30458211.2,0
2024-09-03,33557051.6,0
2024-09-05,37570831.4,0
2024-09-08,41662687.8,0
2024-09-10,45193731.2,0
2024-09-12,49867641.0,0
2024-09-15,54359713.2,0
2024-09-17,58185440.6,0
2024-09-19,62995035.0,0
2024-09-22,67771206.2,0
2024-09-24,71921015.2,2
2024-09-26,15840000.0,0
2024-09-29,15840000.0,0
2024-10-01,15840000.0,0
2024-10-03,15840000.0,0
2024-10-06,17145460.4,0
2024-10-08,19861578.4,0
2024-10-10,23148233.2,0
2024-10-13,26923195.0,0
2024-10-15,29824531.0,0
2024-10-17,33394965.6,0
2024-10-20,37462798.0,1
2024-10-22,15840000.0,0
2024-10-24,15840000.0,0
2024-10-27,15840000.0,0
2024-10-29,90000000.0,0
2024-10-31,94600706.8,0
2024-11-03,99978463.6,0
2024-11-05,104130972.4,0
2024-11-07,110373908.0,0
2024-11-10,116652633.2,0
2024-11-12,122257137.6,0
2024-11-14,129075826.4,1
2024-11-17,15840000.0,0
2024-11-19,15840000.0,0
2024-11-21,15840000.0,0
2024-11-24,15840000.0,0
2024-11-26,17075311.8,0
2024-11-28,21170273.4,0
2024-12-01,25062058.8,0
2024-12-03,28442398.4,0
2024-12-05,32899971.6,0
2024-12-08,37003288.4,0
2024-12-10,40475634.8,0
2024-12-12,44992536.0,0
2024-12-15,49497917.2,0
2024-12-17,53531785.8,2
2024-12-19,15840000.0,0
2024-12-22,15840000.0,1
2024-12-24,15840000.0,0
2024-12-26,15840000.0,0
2024-12-29,15840000.0,0
2024-12-31,15840000.0,0
