date,jackpot,winners
2026-01-03,288616075.0,1
2026-01-05,29700000.0,0
2026-01-07,29700000.0,0
2026-01-10,29700000.0,0
2026-01-12,29700000.0,0
2026-01-14,29700000.0,0
2026-01-17,29700000.0,0
2026-01-19,29700000.0,0
2026-01-21,33193409.2,0
2026-01-24,37485292.6,0
2026-01-26,41941563.2,0
2026-01-28,46526553.8,0
2026-01-31,51794060.0,1
2026-02-02,45000000.0,0
2026-02-04,45000000.0,0
2026-02-07,45000000.0,0
2026-02-09,45000000.0,0
2026-02-11,45000000.0,0
2026-02-14,45000000.0,0
2026-02-16,45000000.0,0
2026-02-18,45000000.0,0
2026-02-21,45000000.0,2
2026-02-23,45000000.0,0
2026-02-25,45000000.0,0
2026-02-28,45000000.0,0
2026-03-02,45000000.0,0
2026-03-04,45000000.0,0
2026-03-07,45000000.0,0
2026-03-09,45000000.0,1
2026-03-11,45000000.0,0
2026-03-14,45000000.0,0
2026-03-16,45000000.0,0
2026-03-18,45000000.0,0
2026-03-21,45000000.0,0
2026-03-23,45000000.0,0
2026-03-25,45000000.0,0
2026-03-28,45000000.0,0
2026-03-30,45000000.0,0
2026-04-01,45000000.0,0
2026-04-06,45000000.0,0
2026-04-08,45000000.0,0
2026-04-11,45000000.0,0
2026-04-13,48290931.86,0
2026-04-15,51762661.04,0
2026-04-18,55224665.03,0
2026-04-20,58762800.2,0
2026-04-22,62292600.08,0
2026-04-25,66008898.49,0
2026-04-27,69508293.74,0
2026-04-29,73371278.43,0
2026-05-02,77324854.25,0
2026-05-04,81488086.77,0
2026-05-06,85767922.62,0
2026-05-09,90484406.48,0
2026-05-11,95026257.54,0
2026-05-13,99516506.24,0
2026-05-16,104852560.66,0
2026-05-18,110063860.04,0
2026-05-20,115358791.87,1
2026-05-23,45000000.0,0
2026-05-25,45000000.0,0
2026-05-27,45000000.0,0
2026-05-30,45000000.0,0
2026-06-01,45000000.0,0
2026-06-03,45000000.0,0
2026-06-06,45000000.0,0
2026-06-08,45000000.0,0
2026-06-10,45000000.0,0
2026-06-13,45000000.0,0
2026-06-15,45000000.0,0
2026-06-17,45000000.0,0
2026-06-20,45000000.0,0
2026-06-22,45000000.0,0
2026-06-24,47239909.78,0
2026-06-27,50310159.2,0
2026-06-29,53059980.4,0
2026-07-01,55979823.38,0
2026-07-04,59618683.19,0
2026-07-06,63065055.92,0
2026-07-08,66672826.45,0
2026-07-11,70431947.88,0
2026-07-13,73989083.89,0
2026-07-15,77749422.0,0
2026-07-18,81616980.58,0
2026-07-20,85413885.1,0
2026-07-22,89205403.23,0
2026-07-25,93164926.34,0
2026-07-27,97179402.15,0
2026-07-29,101243333.98,0
2026-08-01,106120099.39,0
2026-08-03,110824717.35,0
2026-08-05,115231478.82,0
2026-08-08,119496437.97,0
2026-08-10,124014115.01,0
2026-08-12,128414048.39,0
2026-08-15,133654580.6,0
2026-08-17,138142429.09,0
