date,n1,n2,n3,n4,n5,n6
2022-01-03,8,12,24,25,30,32
2022-01-05,10,19,20,21,27,30
2022-01-07,7,10,12,26,41,44
2022-01-10,8,24,30,32,33,40
2022-01-12,12,16,26,40,44,45
2022-01-14,13,17,18,20,24,31
2022-01-17,7,14,22,29,34,37
2022-01-19,2,8,12,26,39,40
2022-01-21,6,10,17,30,34,43
2022-01-24,8,9,18,26,27,44
2022-01-26,7,11,14,19,34,35
2022-01-28,4,13,24,26,31,40
2022-01-31,7,13,23,27,33,38
2022-02-02,3,5,20,25,32,42
2022-02-04,5,14,15,34,42,45
2022-02-07,4,7,8,10,38,45
2022-02-09,8,17,25,30,32,43
2022-02-11,17,19,23,30,41,43
2022-02-14,6,15,18,22,27,29
2022-02-16,6,10,13,15,20,34
2022-02-18,4,6,16,29,30,31
2022-02-21,15,21,27,31,35,41
2022-02-23,3,22,30,34,35,44
2022-02-25,6,21,22,23,36,41
2022-02-28,3,12,18,27,37,44
2022-03-02,2,17,27,30,42,45
2022-03-04,2,8,20,27,37,45
2022-03-07,3,7,20,29,30,44
2022-03-09,9,11,17,22,24,33
2022-03-11,3,5,11,16,22,34
2022-03-14,7,10,15,33,41,42
2022-03-16,6,8,12,22,38,43
2022-03-18,7,17,18,22,26,34
2022-03-21,1,12,19,33,38,41
2022-03-23,8,10,23,32,41,44
2022-03-25,4,11,26,43,44,45
2022-03-28,3,5,7,8,12,25
2022-03-30,1,7,8,21,34,37
2022-04-01,1,2,10,11,37,42
2022-04-04,7,28,29,35,39,43
2022-04-06,5,16,25,31,32,38
2022-04-08,5,14,27,28,35,44
2022-04-11,5,8,16,31,32,39
2022-04-13,3,6,8,15,34,44
2022-04-18,5,7,8,10,17,25
2022-04-20,5,10,19,27,30,42
2022-04-22,22,31,37,39,40,43
2022-04-25,5,12,17,28,29,36
2022-04-27,3,20,21,38,40,42
2022-04-29,7,9,19,41,42,44
2022-05-02,2,9,13,20,26,37
2022-05-04,12,22,23,25,33,42
2022-05-06,7,13,20,30,40,42
2022-05-09,1,3,19,21,36,39
2022-05-11,6,9,27,35,36,45
2022-05-13,2,20,21,22,25,31
2022-05-16,1,8,10,13,20,22
2022-05-18,1,10,26,40,42,45
2022-05-20,1,10,12,14,23,32
2022-05-23,3,5,9,13,26,36
2022-05-25,4,10,27,34,37,39
2022-05-27,7,8,14,39,42,45
2022-05-30,12,21,24,30,40,44
2022-06-01,2,25,26,28,34,41
2022-06-03,4,15,20,31,32,39
2022-06-06,12,16,22,25,31,34
2022-06-08,4,17,19,24,35,43
2022-06-10,5,9,27,29,39,43
2022-06-13,2,14,18,22,32,41
2022-06-15,12,13,18,29,33,43
2022-06-17,2,3,10,12,18,27
