date,jackpot,winners
2023-01-03,35852289.2,0
2023-01-05,41750008.2,0
2023-01-08,47560916.6,0
2023-01-10,52921136.4,0
2023-01-12,59283487.4,0
2023-01-15,65797672.8,0
2023-01-17,71834626.4,0
2023-01-19,79151086.6,1
2023-01-22,15840000.0,0
2023-01-24,15840000.0,0
2023-01-26,15840000.0,0
2023-01-29,17592150.8,0
2023-01-31,20893250.0,0
2023-02-02,25893524.0,0
2023-02-05,30912659.0,0
2023-02-07,35440569.0,0
2023-02-09,41149080.6,0
2023-02-12,46743465.2,0
2023-02-14,51368505.4,0
2023-02-16,57365863.0,0
2023-02-19,63152025.0,1
2023-02-21,15840000.0,0
2023-02-23,15840000.0,0
2023-02-26,15840000.0,0
2023-02-28,15840000.0,0
2023-03-02,18765983.8,1
2023-03-05,15840000.0,0
2023-03-07,15840000.0,0
2023-03-09,15840000.0,0
2023-03-12,16190948.0,0
2023-03-14,19924336.2,0
2023-03-16,25089706.6,0
2023-03-19,29775177.0,0
2023-03-21,33643692.6,2
2023-03-23,15840000.0,0
2023-03-26,15840000.0,0
2023-03-28,15840000.0,0
2023-03-30,15840000.0,0
2023-04-02,18582735.6,0
2023-04-04,21585069.0,0
2023-04-11,24732271.2,0
2023-04-13,27978266.4,1
2023-04-16,15840000.0,0
2023-04-18,15840000.0,0
2023-04-20,15840000.0,0
2023-04-23,15840000.0,0
2023-04-25,17241536.8,0
2023-04-27,21215267.0,1
2023-04-30,15840000.0,0
2023-05-02,15840000.0,0
2023-05-04,15840000.0,0
2023-05-07,15840000.0,0
2023-05-09,16548365.8,0
2023-05-11,20128157.6,0
2023-05-14,24110621.8,0
2023-05-16,27697304.4,0
2023-05-18,32531505.4,0
2023-05-21,36850837.2,0
2023-05-23,40547125.6,0
2023-05-25,45166467.6,0
2023-05-28,49873926.2,0
2023-05-30,53829932.8,0
2023-06-01,58995238.2,1
2023-06-04,15840000.0,0
2023-06-06,15840000.0,0
2023-06-08,15840000.0,1
2023-06-11,15840000.0,2
2023-06-13,15840000.0,0
2023-06-15,15840000.0,1
2023-06-18,15840000.0,0
2023-06-20,15840000.0,0
2023-06-22,15840000.0,0
2023-06-25,15840000.0,0
2023-06-27,19272978.8,0
2023-06-29,23465310.6,0
2023-07-02,28386771.4,0
2023-07-04,32648838.8,0
2023-07-06,38193042.4,0
2023-07-09,43504723.0,0
2023-07-11,48236471.0,0
2023-07-13,53596216.2,0
2023-07-16,59895409.6,0
2023-07-18,65606535.2,0
2023-07-20,72322903.6,0
2023-07-23,79722789.6,0
2023-07-25,86355862.2,0
2023-07-27,93693905.4,1
2023-07-30,15840000.0,0
2023-08-01,15840000.0,0
2023-08-03,15840000.0,0
2023-08-06,15840000.0,0
2023-08-08,19066787.8,0
2023-08-10,23593560.4,0
2023-08-13,28066279.4,0
2023-08-15,31725228.0,2
2023-08-17,15840000.0,0
2023-08-20,15840000.0,0
2023-08-22,15840000.0,0
2023-08-24,15840000.0,0
2023-08-27,18928519.0,0
2023-08-29,21968667.8,0
2023-08-31,26027300.4,0
2023-09-03,30390963.0,0
2023-09-05,33786391.2,0
2023-09-07,38205605.0,0
2023-09-10,43302652.4,0
2023-09-12,47666758.8,0
2023-09-14,53305892.6,0
2023-09-17,58557629.8,0
2023-09-19,63053989.6,0
2023-09-21,68675891.0,0
2023-09-24,75560208.8,0
2023-09-26,81759903.4,0
2023-09-28,88391773.6,0
2023-10-01,93985505.2,0
2023-10-03,100976080.8,0
2023-10-05,109025555.2,0
2023-10-08,118184111.2,0
2023-10-10,126631688.8,0
2023-10-12,136165815.6,0
2023-10-15,147354716.4,1
2023-10-17,15840000.0,0
2023-10-19,15840000.0,1
2023-10-22,15840000.0,0
2023-10-24,15840000.0,0
2023-10-26,15840000.0,0
2023-10-29,15840000.0,0
2023-10-31,89000000.0,0
2023-11-02,93667013.6,0
2023-11-05,100185508.2,0
2023-11-07,106780738.6,0
2023-11-09,114881050.6,0
2023-11-12,123194019.0,0
2023-11-14,131207351.8,0
2023-11-16,140932693.8,0
2023-11-19,150866428.6,0
2023-11-21,160127614.6,0
2023-11-23,170454894.2,0
2023-11-26,181257101.0,0
2023-11-28,191176861.4,0
2023-11-30,202945255.4,0
2023-12-03,215789836.6,0
2023-12-05,228024516.2,0
2023-12-07,241825499.0,0
2023-12-10,255897961.8,0
2023-12-12,268902813.0,0
2023-12-14,282983992.2,0
2023-12-17,297442106.2,0
2023-12-19,310696635.4,1
2023-12-21,15840000.0,0
2023-12-24,15840000.0,0
2023-12-26,15840000.0,0
2023-12-28,20173216.2,0
2023-12-31,500000000.0,0
