date,n1,n2,n3,n4,n5,n6
2024-01-03,14,16,17,22,29,37
2024-01-05,13,18,29,33,37,41
2024-01-08,7,9,11,18,28,29
2024-01-10,2,12,25,27,33,36
2024-01-12,2,6,11,32,34,40
2024-01-15,4,7,22,23,27,40
2024-01-17,1,5,20,23,28,33
2024-01-19,1,14,19,24,35,43
2024-01-22,10,14,18,22,26,33
2024-01-24,1,5,8,12,19,28
2024-01-26,1,2,9,31,36,42
2024-01-29,11,21,23,33,38,45
2024-01-31,3,4,7,13,24,28
2024-02-02,2,11,20,30,43,44
2024-02-05,2,10,15,29,35,39
2024-02-07,2,6,13,19,26,40
2024-02-09,4,12,19,21,26,37
2024-02-12,2,10,24,27,35,36
2024-02-14,1,7,29,30,37,39
2024-02-16,3,11,14,31,41,42
2024-02-19,4,5,11,18,19,36
2024-02-21,4,5,6,12,22,28
2024-02-23,4,26,27,29,33,45
2024-02-26,3,7,9,20,26,29
2024-02-28,18,33,35,40,41,43
2024-03-01,8,12,15,17,24,31
2024-03-04,23,24,28,35,40,44
2024-03-06,6,11,15,33,35,37
2024-03-08,4,9,14,27,30,32
2024-03-11,3,6,7,15,23,42
2024-03-13,8,15,29,30,34,44
2024-03-15,2,3,10,17,42,43
2024-03-18,15,19,20,22,31,45
2024-03-20,7,8,11,16,17,37
2024-03-22,1,18,23,35,40,44
2024-03-25,1,9,11,19,29,39
2024-03-27,5,11,15,18,25,43
2024-04-01,5,9,13,14,17,31
2024-04-03,4,23,24,40,44,45
2024-04-05,3,4,10,11,18,32
2024-04-08,5,6,14,17,20,31
2024-04-10,9,13,18,31,33,44
2024-04-12,4,6,8,10,11,30
2024-04-15,7,17,26,30,35,42
2024-04-17,17,28,29,31,34,39
2024-04-19,3,6,15,16,24,30
2024-04-22,9,17,20,33,40,42
2024-04-24,9,17,26,32,35,43
2024-04-26,10,11,25,36,40,42
2024-04-29,2,13,20,27,38,41
2024-05-01,23,27,28,29,38,42
2024-05-03,3,5,12,19,36,41
2024-05-06,2,6,9,18,30,31
2024-05-08,4,14,20,28,39,41
2024-05-10,3,19,30,32,37,42
2024-05-13,21,34,35,38,41,44
2024-05-15,5,9,17,21,32,42
2024-05-17,1,13,15,24,27,44
2024-05-20,4,22,25,30,40,45
2024-05-22,4,11,13,21,22,30
2024-05-24,2,6,13,30,35,39
2024-05-27,18,23,28,35,40,42
2024-05-29,9,14,17,32,41,43
2024-05-31,10,18,20,21,29,43
2024-06-03,1,4,25,27,33,43
2024-06-05,2,16,23,31,40,45
2024-06-07,7,11,23,35,38,45
2024-06-10,11,16,21,31,35,44
2024-06-12,7,8,25,30,39,40
2024-06-14,5,19,24,38,41,45
2024-06-17,3,17,31,35,42,45
2024-06-19,28,30,32,35,39,43
2024-06-21,1,9,14,20,27,41
2024-06-24,1,2,12,26,34,36
2024-06-26,1,6,13,26,28,30
2024-06-28,13,14,16,18,26,42
2024-07-01,13,19,25,28,34,37
2024-07-03,18,25,35,40,42,45
2024-07-05,8,21,30,31,37,43
2024-07-08,7,11,19,25,36,37
2024-07-10,10,11,12,24,27,42
2024-07-12,1,17,27,28,29,35
2024-07-15,5,14,15,22,37,38
2024-07-17,4,11,12,17,19,32
2024-07-19,1,20,29,30,32,41
2024-07-22,15,19,29,30,34,38
2024-07-24,6,10,12,24,32,33
2024-07-26,6,20,23,32,34,36
2024-07-29,1,4,9,24,30,42
2024-07-31,1,20,22,28,31,44
2024-08-02,3,6,7,34,37,41
2024-08-05,1,3,16,20,23,27
2024-08-07,9,15,17,27,29,44
2024-08-09,2,3,11,14,18,36
2024-08-12,6,9,33,34,37,42
2024-08-14,19,21,24,25,41,42
2024-08-16,5,21,26,29,36,45
2024-08-19,5,18,22,33,34,38
2024-08-21,6,7,21,33,34,39
2024-08-23,3,10,24,30,37,43
2024-08-26,2,4,9,11,24,40
2024-08-28,1,8,12,24,38,45
2024-08-30,1,4,23,32,34,40
2024-09-02,16,17,25,30,36,39
2024-09-04,16,20,28,33,42,43
2024-09-06,4,15,25,27,38,44
2024-09-09,7,9,12,25,33,37
2024-09-11,4,9,13,14,23,41
2024-09-13,1,14,15,18,32,44
2024-09-16,1,3,11,25,39,44
2024-09-18,4,25,28,29,36,45
2024-09-20,13,23,27,34,39,42
2024-09-23,3,8,18,25,30,38
2024-09-25,10,25,30,31,39,41
2024-09-27,12,13,21,25,37,39
2024-09-30,7,22,24,35,41,42
2024-10-02,3,12,20,35,36,45
2024-10-04,3,5,17,23,41,44
2024-10-07,3,6,17,28,36,40
2024-10-09,24,31,32,36,37,38
2024-10-11,2,3,9,12,22,38
2024-10-14,3,9,20,23,28,37
2024-10-16,7,9,13,21,22,34
2024-10-18,3,4,7,18,29,40
2024-10-21,6,11,13,31,34,35
2024-10-23,7,22,34,36,38,43
2024-10-25,2,4,14,19,22,32
2024-10-28,5,8,13,18,25,30
2024-10-30,15,24,27,37,42,45
2024-11-01,5,9,23,24,36,42
2024-11-04,13,23,25,31,35,38
2024-11-06,6,27,31,39,40,41
2024-11-08,6,9,26,33,43,45
2024-11-11,8,18,24,25,37,45
2024-11-13,9,14,19,29,33,44
2024-11-15,4,5,14,23,34,45
2024-11-18,5,14,26,27,35,44
2024-11-20,22,32,33,38,42,45
2024-11-22,9,17,31,33,38,44
2024-11-25,4,13,14,23,31,42
2024-11-27,2,4,12,21,33,43
2024-11-29,3,4,10,18,23,37
2024-12-02,17,28,29,34,41,45
2024-12-04,5,9,10,31,35,42
2024-12-06,1,9,13,14,30,40
2024-12-09,11,12,19,29,33,36
2024-12-11,3,27,30,35,43,44
2024-12-13,2,13,17,23,28,30
2024-12-16,3,8,22,26,39,44
2024-12-18,2,3,21,34,41,45
2024-12-20,9,15,18,22,36,37
2024-12-23,1,3,7,25,35,41
2024-12-25,12,24,27,28,33,38
2024-12-27,2,6,7,27,35,40
2024-12-30,6,8,13,14,30,41
