date,n1,n2,n3,n4,n5,n6
2025-01-02,7,11,15,19,24,48
2025-01-05,7,12,16,35,42,45
2025-01-07,3,9,19,24,31,45
2025-01-09,4,5,8,20,22,44
2025-01-12,3,9,12,25,36,48
2025-01-14,5,10,20,26,36,40
2025-01-16,2,7,16,31,33,38
2025-01-19,4,20,22,30,31,37
2025-01-21,19,29,32,40,44,47
2025-01-23,2,9,12,16,31,39
2025-01-26,2,5,21,30,32,44
2025-01-28,16,20,28,34,40,41
2025-01-30,22,26,28,34,37,43
2025-02-02,11,12,16,28,33,49
2025-02-04,2,28,29,42,43,47
2025-02-06,6,13,14,30,35,39
2025-02-09,2,8,11,16,17,39
2025-02-11,1,10,23,38,46,48
2025-02-13,2,13,26,35,45,46
2025-02-16,5,21,24,28,37,48
2025-02-18,13,20,21,30,33,48
2025-02-20,2,3,23,24,36,46
2025-02-23,12,21,26,32,34,40
2025-02-25,3,15,31,41,48,49
2025-02-27,9,13,27,33,37,42
2025-03-02,6,8,24,25,26,37
2025-03-04,2,3,7,25,38,41
2025-03-06,11,16,18,20,31,39
2025-03-09,4,7,8,21,41,42
2025-03-11,23,25,33,36,41,47
2025-03-13,6,14,19,30,38,40
2025-03-16,5,7,16,28,31,35
2025-03-18,2,10,13,29,38,40
2025-03-20,1,5,21,27,32,33
2025-03-23,6,11,23,35,36,37
2025-03-25,12,24,37,41,43,46
2025-03-27,5,13,24,30,39,48
2025-03-30,14,18,21,28,41,45
2025-04-01,17,20,26,41,43,46
2025-04-03,25,35,36,37,39,47
2025-04-06,9,26,28,38,41,44
2025-04-08,34,36,39,43,44,49
2025-04-10,1,8,20,35,36,40
2025-04-13,2,3,6,7,18,35
2025-04-15,1,22,33,34,36,37
2025-04-20,16,18,28,30,41,45
2025-04-22,23,25,31,39,42,49
2025-04-24,6,17,20,32,34,42
2025-04-27,7,8,30,35,39,40
2025-04-29,2,5,9,10,24,25
2025-05-01,1,4,6,13,27,34
2025-05-04,6,16,29,33,43,48
2025-05-06,12,14,28,40,41,47
2025-05-08,2,20,28,31,47,48
2025-05-11,3,12,33,41,47,48
2025-05-13,4,16,19,29,41,43
2025-05-15,2,5,13,14,18,45
2025-05-18,3,4,6,18,37,46
2025-05-20,2,7,12,32,35,36
2025-05-22,3,11,15,19,23,43
2025-05-25,13,14,16,24,35,42
2025-05-27,1,12,17,19,28,46
2025-05-29,3,24,25,29,34,41
2025-06-01,6,10,19,23,27,38
2025-06-03,17,19,21,43,45,47
2025-06-05,11,12,28,35,37,41
2025-06-08,1,22,26,27,30,37
2025-06-10,19,20,22,23,39,41
2025-06-12,6,7,8,14,16,46
2025-06-15,12,14,19,32,35,43
2025-06-17,8,19,21,24,27,46
2025-06-19,17,18,19,26,33,39
2025-06-22,11,21,22,28,36,38
2025-06-24,8,12,13,15,36,40
2025-06-26,5,8,16,18,25,27
2025-06-29,5,6,14,25,32,46
2025-07-01,15,17,19,20,25,47
2025-07-03,27,42,44,45,46,48
2025-07-06,9,13,23,28,30,36
2025-07-08,3,16,23,26,38,48
2025-07-10,3,7,8,13,25,44
2025-07-13,3,4,7,11,25,46
2025-07-15,7,8,13,23,29,30
2025-07-17,2,4,8,14,29,37
2025-07-20,12,13,27,29,34,44
2025-07-22,8,14,17,28,42,45
2025-07-24,8,29,31,42,47,48
2025-07-27,1,11,22,33,34,39
2025-07-29,6,15,21,30,34,47
2025-07-31,1,6,11,28,37,47
2025-08-03,10,25,26,29,37,43
2025-08-05,6,11,38,39,43,49
2025-08-07,15,16,20,41,47,49
2025-08-10,6,10,24,30,34,44
2025-08-12,16,21,27,34,35,44
2025-08-14,19,22,28,34,36,48
2025-08-17,4,22,30,33,34,44
2025-08-19,12,15,17,21,27,30
2025-08-21,1,10,15,36,41,47
2025-08-24,8,15,24,43,45,46
2025-08-26,16,25,27,31,35,46
2025-08-28,6,14,16,17,22,49
2025-08-31,5,18,23,32,43,45
2025-09-02,7,11,16,21,31,38
2025-09-04,2,4,6,10,17,32
2025-09-07,5,10,21,26,45,49
2025-09-09,5,8,15,22,29,32
2025-09-11,2,11,24,28,44,45
2025-09-14,8,10,26,40,41,45
2025-09-16,33,34,37,41,46,48
2025-09-18,3,18,23,25,36,45
2025-09-21,3,7,27,35,40,46
2025-09-23,8,14,16,25,38,41
2025-09-25,6,7,25,27,31,46
2025-09-28,4,8,12,19,22,42
2025-09-30,2,8,21,23,44,45
2025-10-02,6,25,26,28,41,46
2025-10-05,7,13,14,16,21,42
2025-10-07,5,10,23,27,30,45
2025-10-09,8,10,20,22,36,48
2025-10-12,4,11,13,16,28,36
2025-10-14,1,26,32,38,41,49
2025-10-16,2,22,37,38,41,44
2025-10-19,10,26,28,29,39,42
2025-10-21,2,4,27,31,36,39
2025-10-23,4,14,22,25,26,40
2025-10-26,18,21,22,31,38,42
2025-10-28,7,12,23,28,37,48
2025-10-30,3,4,10,13,19,45
2025-11-02,24,26,33,36,37,45
2025-11-04,6,8,10,38,44,47
2025-11-06,1,11,16,41,47,48
2025-11-09,6,14,26,29,31,37
2025-11-11,4,5,12,14,20,25
2025-11-13,26,29,45,46,47,48
2025-11-16,1,7,17,32,34,38
2025-11-18,20,32,34,37,43,44
2025-11-20,9,19,28,40,43,49
2025-11-23,12,18,22,23,30,47
2025-11-25,7,13,16,18,27,49
2025-11-27,3,7,16,35,38,42
2025-11-30,3,6,7,10,21,32
2025-12-02,9,14,17,26,44,48
2025-12-04,16,24,26,28,35,44
2025-12-07,10,26,36,43,44,48
2025-12-09,1,9,30,32,34,42
2025-12-11,30,31,34,44,45,48
2025-12-14,9,36,37,42,43,45
2025-12-16,10,13,19,26,30,32
