date,jackpot,winners
2025-10-02,70194470.2,0
2025-10-05,75490978.6,0
2025-10-07,80300804.2,0
2025-10-09,85927967.8,0
2025-10-12,92574296.6,0
2025-10-14,98498935.6,0
2025-10-16,105467873.6,0
2025-10-19,112796478.4,0
2025-10-21,119716186.8,0
2025-10-23,127118438.8,0
2025-10-26,135324834.8,0
2025-10-28,142603737.2,0
2025-10-30,150230626.8,0
2025-11-02,158096172.4,0
2025-11-04,164438966.0,0
2025-11-06,172090632.0,0
2025-11-09,178197172.0,0
2025-11-11,184998366.4,1
2025-11-13,15840000.0,0
2025-11-16,15840000.0,0
2025-11-18,15840000.0,0
2025-11-20,15840000.0,0
2025-11-23,17365848.0,0
2025-11-25,20142114.2,0
2025-11-27,23948578.8,0
2025-11-30,27769526.4,0
2025-12-02,31156886.8,0
2025-12-04,35274192.0,0
2025-12-07,39517070.4,0
2025-12-09,42781444.2,0
2025-12-11,46850654.0,0
2025-12-14,51519188.2,0
2025-12-16,55343237.6,0
2025-12-18,60281173.2,0
2025-12-21,65546126.0,0
2025-12-23,70588118.9,0
2025-12-25,73000006.1,0
2025-12-28,78914953.1,0
2025-12-30,83958495.3,0
