date,jackpot,winners
2025-01-02,5940000.0,0
2025-01-04,7329497.4,0
2025-01-07,10862997.4,0
2025-01-09,15000326.4,0
2025-01-11,19489253.8,1
2025-01-14,5940000.0,0
2025-01-16,6615575.8,0
2025-01-18,10387166.0,1
2025-01-21,5940000.0,0
2025-01-23,6217911.4,0
2025-01-25,9796810.2,0
2025-01-28,13131506.6,1
2025-01-30,5940000.0,0
2025-02-01,6618790.0,0
2025-02-04,9723773.4,0
2025-02-06,13140942.0,0
2025-02-08,17006843.6,0
2025-02-11,20503257.0,0
2025-02-13,24427207.0,0
2025-02-15,28763896.8,0
2025-02-18,32748016.0,0
2025-02-20,37004141.8,0
2025-02-22,41681828.4,0
2025-02-25,46479400.8,0
2025-02-27,52280573.2,0
2025-03-01,57844701.4,0
2025-03-04,63341802.8,0
2025-03-06,69536644.8,0
2025-03-08,75293682.4,0
2025-03-11,81270210.2,0
2025-03-13,87958304.2,0
2025-03-15,94246294.8,0
2025-03-18,100890109.2,1
2025-03-20,5940000.0,0
2025-03-22,6510878.8,0
2025-03-25,9390377.6,0
2025-03-27,12655831.6,0
2025-03-29,16145344.4,0
2025-04-01,19410097.0,1
2025-04-03,5940000.0,0
2025-04-05,6184178.8,2
2025-04-08,5940000.0,0
2025-04-10,5940000.0,1
2025-04-12,5940000.0,0
2025-04-15,5940000.0,0
2025-04-22,8602455.8,0
2025-04-24,11825882.6,0
2025-04-26,15200401.8,0
2025-04-29,18428250.6,0
2025-05-01,22383750.8,0
2025-05-03,26282941.2,0
2025-05-06,30056709.4,0
2025-05-08,34708834.8,0
2025-05-10,38971450.6,0
2025-05-13,43009332.6,0
2025-05-15,48153537.4,0
2025-05-17,53228564.8,0
2025-05-20,58726119.8,0
2025-05-22,64959042.6,0
2025-05-24,71671076.0,0
2025-05-27,78531109.8,0
2025-05-29,86040161.2,0
2025-05-31,93806443.4,0
2025-06-03,102346298.0,1
2025-06-05,5940000.0,0
2025-06-07,7027614.2,0
2025-06-10,10068136.4,0
2025-06-12,13536866.8,0
2025-06-14,17563262.0,0
2025-06-17,21080522.8,0
2025-06-19,25051343.8,1
2025-06-21,5940000.0,0
2025-06-24,5940000.0,0
2025-06-26,9056625.0,0
2025-06-28,12610136.6,0
2025-07-01,16089613.8,0
2025-07-03,20386720.8,0
2025-07-05,24706840.0,0
2025-07-08,28711263.6,0
2025-07-10,33699580.6,0
2025-07-12,38848464.0,0
2025-07-15,43583666.2,0
2025-07-17,48913755.2,0
2025-07-19,54107784.2,0
2025-07-22,58652835.2,0
2025-07-24,63908331.6,1
2025-07-26,5940000.0,0
2025-07-29,6054592.2,0
2025-07-31,9212984.0,0
2025-08-02,12715992.0,0
2025-08-05,15979564.2,0
2025-08-07,19560635.6,0
2025-08-09,23489765.2,0
2025-08-12,27137946.0,0
2025-08-14,30978800.6,0
2025-08-16,35318748.6,0
2025-08-19,39462472.8,0
2025-08-21,44760884.0,0
2025-08-23,49700531.8,0
2025-08-26,55241711.8,0
2025-08-28,61104270.0,0
2025-08-30,66711495.8,0
2025-09-02,73224072.6,0
2025-09-04,79979967.6,0
2025-09-06,86346740.6,1
2025-09-09,5940000.0,0
2025-09-11,5988733.6,0
2025-09-13,9272591.6,0
2025-09-16,12348288.8,0
2025-09-18,15770336.4,0
2025-09-20,19413215.4,0
2025-09-23,22494977.4,0
2025-09-25,25921463.6,0
2025-09-27,29935246.8,1
2025-09-30,5940000.0,0
2025-10-02,5940000.0,0
2025-10-04,8895388.0,0
2025-10-07,11799533.0,0
2025-10-09,15031323.8,0
2025-10-11,19051981.2,0
2025-10-14,22519004.8,0
2025-10-16,26433423.6,0
2025-10-18,30933067.0,0
2025-10-21,34864065.2,0
2025-10-23,39093928.4,0
2025-10-25,44203730.0,0
2025-10-28,48513678.2,0
2025-10-30,53103612.8,0
2025-11-01,56954430.2,0
2025-11-04,60959533.2,0
2025-11-06,65771261.6,0
2025-11-08,71005392.0,0
2025-11-11,75610006.6,0
2025-11-13,81810102.0,1
2025-11-15,5940000.0,1
2025-11-18,5940000.0,0
2025-11-20,5971209.4,0
2025-11-22,9211206.8,0
2025-11-25,12116541.0,0
2025-11-27,15608485.0,0
2025-11-29,19230167.6,0
2025-12-02,23049025.2,0
2025-12-04,27190231.2,0
2025-12-06,31464216.0,0
2025-12-09,35516146.0,0
2025-12-11,39894086.8,0
2025-12-13,44542378.2,0
2025-12-16,49195100.4,1
2025-12-18,5940000.0,0
2025-12-20,6504897.6,0
2025-12-23,9716215.4,0
2025-12-25,11271463.8,0
2025-12-27,15202187.8,0
2025-12-30,19004723.6,1
