date,jackpot,winners
2025-07-01,173307289.2,0
2025-07-04,181743268.4,0
2025-07-06,189803483.2,0
2025-07-08,197294254.4,0
2025-07-11,206344530.8,0
2025-07-13,215283830.4,0
2025-07-15,223465859.2,0
2025-07-18,233048782.0,0
2025-07-20,241882917.2,0
2025-07-22,249157124.8,0
2025-07-25,258660618.8,0
2025-07-27,267812434.0,0
2025-07-29,276717316.8,0
2025-08-01,287539944.0,0
2025-08-03,297664986.4,0
2025-08-05,307514426.0,0
2025-08-08,319010402.8,0
2025-08-10,329754859.6,0
2025-08-12,339955661.2,0
2025-08-15,351893609.2,0
2025-08-17,363258633.2,0
2025-08-19,373899069.6,0
2025-08-22,386153104.8,1
2025-08-24,49500000.0,0
2025-08-26,49500000.0,0
2025-08-29,49500000.0,0
2025-08-31,49500000.0,0
2025-09-02,49500000.0,0
2025-09-05,49500000.0,0
2025-09-07,49500000.0,0
2025-09-09,49500000.0,0
2025-09-12,49500000.0,0
2025-09-14,49500000.0,1
2025-09-16,49500000.0,0
2025-09-19,49500000.0,0
2025-09-21,49500000.0,0
2025-09-23,49500000.0,0
2025-09-26,49500000.0,0
2025-09-28,49500000.0,0
2025-09-30,49500000.0,0
2025-10-03,49500000.0,0
2025-10-05,49500000.0,0
2025-10-07,49500000.0,0
2025-10-10,49500000.0,0
2025-10-12,49500000.0,0
2025-10-14,49500000.0,0
2025-10-17,49500000.0,0
2025-10-19,50952075.8,2
2025-10-21,49500000.0,0
2025-10-24,49500000.0,0
2025-10-26,49500000.0,0
2025-10-28,49500000.0,0
2025-10-31,91000000.0,0
2025-11-02,94585380.0,0
2025-11-04,97512472.2,0
2025-11-07,102115334.2,0
2025-11-09,105139234.2,0
2025-11-11,108810101.4,0
2025-11-14,114052697.0,0
2025-11-16,119841821.0,0
2025-11-18,125249742.2,0
2025-11-21,131212842.2,0
2025-11-23,137126644.6,0
2025-11-25,142401985.0,0
2025-11-28,148988345.0,0
2025-11-30,155223593.8,1
2025-12-02,49500000.0,0
2025-12-05,49500000.0,0
2025-12-07,49500000.0,0
2025-12-09,49500000.0,0
2025-12-12,49500000.0,0
2025-12-14,49500000.0,0
2025-12-16,49500000.0,0
2025-12-19,49500000.0,0
2025-12-21,49500000.0,0
2025-12-23,49500000.0,0
2025-12-26,49500000.0,0
2025-12-28,49500000.0,0
2025-12-30,202600000.0,0
