date,n1,n2,n3,n4,n5,n6
2024-01-03,4,24,26,39,42,52
2024-01-06,6,16,23,40,47,54
2024-01-08,4,8,17,18,24,28
2024-01-10,7,22,32,42,50,53
2024-01-13,3,11,28,37,53,54
2024-01-15,35,37,42,45,47,55
2024-01-17,3,9,24,50,51,52
2024-01-20,10,21,29,30,44,48
2024-01-22,2,10,13,23,33,51
2024-01-24,15,29,30,42,46,48
2024-01-27,2,6,7,13,25,35
2024-01-29,9,17,43,51,52,53
2024-01-31,4,5,27,30,31,37
2024-02-03,7,10,19,20,29,40
2024-02-05,6,20,24,31,43,49
2024-02-07,21,36,37,38,40,42
2024-02-10,1,3,21,24,37,39
2024-02-12,4,12,29,38,39,54
2024-02-14,11,21,36,42,44,50
2024-02-17,7,14,30,44,46,54
2024-02-19,3,27,31,48,54,55
2024-02-21,2,8,15,45,49,50
2024-02-24,1,2,24,42,44,47
2024-02-26,8,18,22,35,39,48
2024-02-28,10,36,37,49,50,51
2024-03-02,16,25,29,32,33,36
2024-03-04,7,31,32,33,40,49
2024-03-06,5,20,22,24,25,28
2024-03-09,22,24,43,44,48,55
2024-03-11,11,30,39,40,53,54
2024-03-13,13,27,30,33,35,42
2024-03-16,1,10,12,18,26,35
2024-03-18,5,13,41,49,50,54
2024-03-20,20,33,42,46,47,51
2024-03-23,3,26,35,36,37,40
2024-03-25,12,14,31,40,49,54
2024-03-27,2,6,15,19,24,52
2024-04-01,11,17,37,38,43,52
2024-04-03,11,14,18,23,30,45
2024-04-06,21,29,30,37,42,53
2024-04-08,4,13,15,32,35,45
2024-04-10,7,9,23,24,37,52
2024-04-13,7,14,17,26,30,39
2024-04-15,4,16,23,29,34,54
2024-04-17,2,11,16,23,32,37
2024-04-20,1,6,27,35,40,46
2024-04-22,4,9,40,41,47,51
2024-04-24,30,37,41,43,50,55
2024-04-27,8,9,31,45,47,54
2024-04-29,2,19,29,30,32,47
2024-05-01,1,16,41,42,45,50
2024-05-04,4,24,40,41,43,48
2024-05-06,24,28,29,36,42,52
2024-05-08,1,7,20,27,28,39
2024-05-11,5,11,13,33,35,39
2024-05-13,4,11,21,29,31,53
2024-05-15,3,17,26,41,49,53
2024-05-18,6,8,16,25,34,44
2024-05-20,1,6,17,34,45,50
2024-05-22,14,20,24,27,29,41
2024-05-25,3,21,26,43,49,50
2024-05-27,13,24,31,38,51,53
2024-05-29,19,20,24,25,27,39
2024-06-01,2,13,29,36,46,50
2024-06-03,5,6,22,35,41,54
2024-06-05,8,11,29,35,45,49
2024-06-08,11,15,16,21,24,34
2024-06-10,4,6,28,32,35,48
2024-06-12,10,21,23,25,36,42
2024-06-15,7,12,16,24,31,42
2024-06-17,4,29,36,37,41,49
2024-06-19,6,10,17,44,45,47
2024-06-22,3,8,9,38,41,46
2024-06-24,3,4,8,29,30,49
2024-06-26,13,17,20,22,41,52
2024-06-29,4,6,12,43,48,51
2024-07-01,9,21,23,28,30,46
2024-07-03,29,43,44,47,51,52
2024-07-06,4,11,19,20,51,53
2024-07-08,22,28,33,34,43,46
2024-07-10,8,20,30,35,41,46
2024-07-13,21,23,32,37,45,55
2024-07-15,8,9,10,21,28,35
2024-07-17,3,25,34,40,43,44
2024-07-20,21,33,37,40,42,52
2024-07-22,7,16,25,27,30,54
2024-07-24,2,3,4,16,40,44
2024-07-27,16,25,39,41,43,45
2024-07-29,5,22,23,35,46,52
2024-07-31,23,32,36,37,42,48
2024-08-03,1,4,28,30,35,49
2024-08-05,16,20,35,39,51,53
2024-08-07,13,16,24,29,40,47
2024-08-10,13,35,38,49,52,55
2024-08-12,6,8,10,34,42,53
2024-08-14,3,4,5,20,26,30
2024-08-17,25,27,28,29,35,53
2024-08-19,1,21,31,36,52,53
2024-08-21,11,18,38,43,45,46
2024-08-24,13,15,16,40,42,44
2024-08-26,9,16,27,38,39,45
2024-08-28,21,33,37,40,49,50
2024-08-31,1,3,10,11,16,51
2024-09-02,7,8,13,40,44,50
2024-09-04,3,7,17,22,32,45
2024-09-07,3,17,20,24,31,47
2024-09-09,9,23,27,34,41,45
2024-09-11,9,14,15,30,49,52
2024-09-14,6,21,26,27,34,44
2024-09-16,5,9,21,22,30,37
2024-09-18,2,15,19,24,31,45
2024-09-21,5,6,10,20,28,29
2024-09-23,10,12,13,33,40,52
2024-09-25,2,27,30,34,38,39
2024-09-28,12,13,22,41,45,46
2024-09-30,4,28,39,42,45,55
2024-10-02,2,8,9,21,26,55
2024-10-05,3,10,20,28,41,53
2024-10-07,2,10,12,31,33,54
2024-10-09,4,9,19,34,41,48
2024-10-12,5,25,27,36,40,43
2024-10-14,1,5,6,17,43,52
2024-10-16,7,17,26,35,45,51
2024-10-19,20,23,42,44,46,55
2024-10-21,10,26,36,39,49,53
2024-10-23,1,5,11,20,39,47
2024-10-26,17,20,31,45,50,51
2024-10-28,6,12,14,35,39,48
2024-10-30,7,16,21,40,47,53
2024-11-02,10,12,26,48,50,52
2024-11-04,14,23,26,30,40,54
2024-11-06,2,3,4,23,35,42
2024-11-09,16,29,40,42,52,55
2024-11-11,8,20,26,39,43,49
2024-11-13,1,3,11,16,27,50
2024-11-16,40,44,47,50,52,54
2024-11-18,7,12,24,30,46,49
2024-11-20,1,10,14,25,27,32
2024-11-23,4,7,9,17,26,41
2024-11-25,7,15,19,25,33,49
2024-11-27,8,17,18,25,34,41
2024-11-30,1,8,38,40,50,53
2024-12-02,5,9,16,18,20,41
2024-12-04,1,2,9,18,32,37
2024-12-07,15,18,20,33,41,43
2024-12-09,11,12,30,42,47,54
2024-12-11,1,8,16,17,41,42
2024-12-14,10,27,34,35,42,49
2024-12-16,10,15,21,40,54,55
2024-12-18,7,31,39,42,48,55
2024-12-21,8,25,26,46,48,53
2024-12-23,10,14,22,24,41,52
2024-12-25,3,15,16,33,38,47
2024-12-28,3,23,33,45,46,48
2024-12-30,17,20,26,45,52,54
