date,jackpot,winners
2022-01-04,38829392.8,0
2022-01-06,42945708.2,4
2022-01-08,5940000.0,0
2022-01-11,5940000.0,0
2022-01-13,7068747.4,0
2022-01-15,10025465.0,0
2022-01-18,13172710.2,0
2022-01-20,16840457.8,0
2022-01-22,20720246.6,0
2022-01-25,24635223.6,0
2022-01-27,29164435.2,0
2022-01-29,33852288.4,0
2022-02-01,38674890.2,0
2022-02-03,44124019.4,0
2022-02-05,49813434.4,1
2022-02-08,5940000.0,0
2022-02-10,6500180.4,0
2022-02-12,9760454.8,0
2022-02-15,12870173.0,0
2022-02-17,16654165.0,0
2022-02-19,20522079.4,0
2022-02-22,24425273.4,0
2022-02-24,28851800.8,1
2022-02-26,5940000.0,0
2022-03-01,6082200.4,0
2022-03-03,9167960.6,0
2022-03-05,12537017.2,1
2022-03-08,5940000.0,0
2022-03-10,5940000.0,0
2022-03-12,8818322.2,0
2022-03-15,11687949.6,0
2022-03-17,15031175.2,0
2022-03-19,18726352.6,0
2022-03-22,22489187.8,0
2022-03-24,26888547.4,0
2022-03-26,31209194.0,1
2022-03-29,5940000.0,0
2022-03-31,6111716.8,0
2022-04-02,9452158.8,0
2022-04-05,12124273.0,0
2022-04-07,15547657.4,0
2022-04-09,19174546.0,0
2022-04-12,22509413.0,0
2022-04-19,26208227.4,0
2022-04-21,30084914.4,0
2022-04-23,34194443.6,0
2022-04-26,38170552.2,0
2022-04-28,42434650.0,0
2022-04-30,47018808.2,0
2022-05-03,51412148.0,1
2022-05-05,5940000.0,0
2022-05-07,6051682.0,0
2022-05-10,8509629.8,0
2022-05-12,11692275.8,0
2022-05-14,15020774.0,0
2022-05-17,18149335.6,0
2022-05-19,22290301.6,0
2022-05-21,26320485.8,0
2022-05-24,30265196.2,0
2022-05-26,34985545.4,0
2022-05-28,39311022.6,0
2022-05-31,43912343.8,3
2022-06-02,5940000.0,0
2022-06-04,6768840.8,0
2022-06-07,9696500.0,0
2022-06-09,12998501.0,1
2022-06-11,5940000.0,0
2022-06-14,6051521.2,0
2022-06-16,9423997.8,1
2022-06-18,5940000.0,1
2022-06-21,5940000.0,0
2022-06-23,6457370.2,0
2022-06-25,10518111.4,0
2022-06-28,13886702.2,0
2022-06-30,18353331.0,0
2022-07-02,23545622.4,0
2022-07-05,28572306.6,0
2022-07-07,34838186.8,2
2022-07-09,5940000.0,1
2022-07-12,5940000.0,0
2022-07-14,6848076.8,0
2022-07-16,10733280.8,0
2022-07-19,14283746.8,0
2022-07-21,18367924.0,0
2022-07-23,23061318.0,2
2022-07-26,5940000.0,0
2022-07-28,6627802.6,0
2022-07-30,10233856.0,0
2022-08-02,13796166.6,0
2022-08-04,18013724.8,0
2022-08-06,22414970.6,0
2022-08-09,26895199.2,0
2022-08-11,32075959.8,1
2022-08-13,5940000.0,1
2022-08-16,5940000.0,0
2022-08-18,6567885.6,0
2022-08-20,10196551.4,0
2022-08-23,13212554.0,0
2022-08-25,16934604.0,0
2022-08-27,21054373.6,0
2022-08-30,24881350.8,0
2022-09-01,29239676.4,0
2022-09-03,33433506.8,0
2022-09-06,37580623.6,0
2022-09-08,42150882.4,0
2022-09-10,46993787.6,0
2022-09-13,51634456.0,0
2022-09-15,56654977.2,1
2022-09-17,5940000.0,0
2022-09-20,6713559.4,0
2022-09-22,10004965.6,0
2022-09-24,13827534.0,0
2022-09-27,16857699.0,0
2022-09-29,20521016.8,0
2022-10-01,24908649.6,0
2022-10-04,28682317.6,0
2022-10-06,32944153.8,0
2022-10-08,38200752.4,1
2022-10-11,5940000.0,0
2022-10-13,6324328.4,0
2022-10-15,9986152.0,0
2022-10-18,13183447.2,0
2022-10-20,16856614.4,0
2022-10-22,21034188.0,0
2022-10-25,24684429.0,1
2022-10-27,5940000.0,0
2022-10-29,5940000.0,0
2022-11-01,8000922.6,0
2022-11-03,11502315.2,0
2022-11-05,15395114.8,1
2022-11-08,5940000.0,2
2022-11-10,5940000.0,0
2022-11-12,6669768.2,0
2022-11-15,9754195.0,0
2022-11-17,13460781.0,0
2022-11-19,17259657.8,0
2022-11-22,20909088.4,0
2022-11-24,24981969.4,0
2022-11-26,29348859.4,0
2022-11-29,33823987.6,0
2022-12-01,39292522.8,1
2022-12-03,5940000.0,0
2022-12-06,7176331.6,0
2022-12-08,10897597.6,0
2022-12-10,14741109.2,0
2022-12-13,18785433.8,0
2022-12-15,23965057.0,0
2022-12-17,28599972.0,0
2022-12-20,33742504.2,0
2022-12-22,40430571.8,0
2022-12-24,43809512.0,0
2022-12-27,50129894.0,0
2022-12-29,58430935.8,1
2022-12-31,5940000.0,0
