date,n1,n2,n3,n4,n5,n6
2022-10-02,14,24,39,40,44,56
2022-10-04,6,25,30,50,56,58
2022-10-07,12,13,19,49,54,57
2022-10-09,1,9,24,25,39,47
2022-10-11,1,4,13,18,24,52
2022-10-14,1,9,15,32,40,47
2022-10-16,3,40,41,44,48,49
2022-10-18,4,10,21,23,27,32
2022-10-21,6,12,21,32,43,53
2022-10-23,7,16,37,39,50,58
2022-10-25,17,25,28,42,44,58
2022-10-28,9,11,37,42,49,55
2022-10-30,8,19,20,29,39,42
2022-11-01,5,17,20,26,29,34
2022-11-04,10,36,44,45,50,52
2022-11-06,9,23,25,35,39,50
2022-11-08,2,5,18,48,49,53
2022-11-11,18,19,35,45,46,50
2022-11-13,9,16,17,43,46,50
2022-11-15,10,13,29,41,46,58
2022-11-18,7,15,16,24,42,53
2022-11-20,15,36,41,49,52,53
2022-11-22,3,7,8,21,51,58
2022-11-25,5,29,31,39,40,46
2022-11-27,7,12,29,36,38,45
2022-11-29,9,20,26,32,38,55
2022-12-02,1,6,10,11,31,33
2022-12-04,6,31,35,36,49,58
2022-12-06,9,22,23,46,53,58
2022-12-09,7,8,18,33,35,48
2022-12-11,4,7,10,13,16,34
2022-12-13,1,8,13,28,29,56
2022-12-16,6,9,23,30,33,49
2022-12-18,1,2,3,42,44,58
2022-12-20,6,19,27,32,34,35
2022-12-23,27,31,35,40,50,51
2022-12-27,6,12,36,43,44,50
2022-12-30,1,3,5,8,15,23
