date,jackpot,winners
2022-10-02,116954271.6,0
2022-10-04,123277014.4,0
2022-10-06,130721836.4,0
2022-10-09,138372723.6,0
2022-10-11,145637528.4,0
2022-10-13,153877685.6,0
2022-10-16,162479421.6,0
2022-10-18,170399131.2,0
2022-10-20,179396145.6,0
2022-10-23,188471378.8,1
2022-10-25,15840000.0,0
2022-10-27,15840000.0,0
2022-10-30,15840000.0,0
2022-11-01,15840000.0,0
2022-11-03,17282639.2,0
2022-11-06,21323421.6,0
2022-11-08,24838726.8,0
2022-11-10,29599369.0,0
2022-11-13,34024733.6,0
2022-11-15,37927156.8,0
2022-11-17,43192872.6,0
2022-11-20,48225620.6,0
2022-11-22,52448618.4,0
2022-11-24,57727960.4,0
2022-11-27,63013007.4,1
2022-11-29,15840000.0,0
2022-12-01,15840000.0,0
2022-12-04,15840000.0,0
2022-12-06,15840000.0,0
2022-12-08,19340483.6,0
2022-12-11,23971499.6,1
2022-12-13,15840000.0,0
2022-12-15,15840000.0,0
2022-12-18,15840000.0,0
2022-12-20,16025912.2,0
2022-12-22,20692551.4,0
2022-12-27,25359791.8,0
2022-12-29,30855286.6,0
